year,session,paper,doc_type,language,document_id,source_url,local_path,collection_status,verified,notes
2022,Nov,P1,exam,Eng,2022_nov_p1_exam_maths,https://www.education.gov.za/Portals/0/CD/2022NovExams/Non-Languages%20Nov%202022%20PDF/Mathematics/Mathematics%20P1%20Nov%202022%20Eng.pdf?ver=2023-02-02-114231-000,data/raw/exams/2022_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2022 P1 exam verified
2022,Nov,P2,exam,Eng,2022_nov_p2_exam_maths,https://www.education.gov.za/Portals/0/CD/2022NovExams/Non-Languages%20Nov%202022%20PDF/Mathematics/Mathematics%20P2%20Nov%202022%20Eng.pdf?ver=2023-02-08-132128-000,data/raw/exams/2022_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2022 P2 exam verified
2022,Nov,P1,memo,Eng,2022_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=gytAGGPYSc8%3d&tabid=3294&portalid=0&mid=10986,data/raw/memos/2022_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2022 P1 marking guidelines verified
2022,Nov,P2,memo,Eng,2022_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=var8F7VpOmU%3d&tabid=3294&portalid=0&mid=10986,data/raw/memos/2022_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2022 P2 marking guidelines verified
2022,—,—,diagnostic,Eng,2022_maths_diagnostic_part1,https://www.education.gov.za/Portals/0/Documents/Reports/Diagnostic%20Reports%202022/,data/raw/diagnostic_reports/2022_maths_diagnostic_part1.pdf,owned,yes,NSC 2022 Diagnostic Report Part 1 Content Subjects verified
2021,Nov,P1,exam,Eng,2021_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=jgMJbW3Aa0o%3d&tabid=2922&portalid=0&mid=10135,data/raw/exams/2021_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2021 P1 exam; covid_adjusted
2021,Nov,P2,exam,Eng,2021_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=s7hK0H8bqPM%3d&tabid=2922&portalid=0&mid=10135,data/raw/exams/2021_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2021 P2 exam; covid_adjusted
2021,Nov,P1,memo,Eng,2021_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=sGgq9FNv0lQ%3d&tabid=2922&portalid=0&mid=10135,data/raw/memos/2021_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2021 P1 memo; covid_adjusted
2021,Nov,P2,memo,Eng,2021_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=LJo4MZ4DRZM%3d&tabid=2922&portalid=0&mid=10135,data/raw/memos/2021_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2021 P2 memo; covid_adjusted
2021,—,—,diagnostic,Eng,2021_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=H1cFr8xeEh0%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2021_maths_diagnostic_part1.pdf,owned,yes,NSC 2021 Diagnostic Report Part 1; covid_adjusted
2020,Nov,P1,exam,Eng,2020_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=f-OMZa2HZ5U%3d&tabid=2702&portalid=0&mid=9632,data/raw/exams/2020_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2020 P1 exam; covid_adjusted
2020,Nov,P2,exam,Eng,2020_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=FU-0n3tYUzs%3d&tabid=2702&portalid=0&mid=9632,data/raw/exams/2020_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2020 P2 exam; covid_adjusted
2020,Nov,P1,memo,Eng,2020_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=R9cpC35sw60%3d&tabid=2702&portalid=0&mid=9632,data/raw/memos/2020_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2020 P1 memo; covid_adjusted
2020,Nov,P2,memo,Eng,2020_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=P7kQcnNxRHY%3d&tabid=2702&portalid=0&mid=9632,data/raw/memos/2020_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2020 P2 memo; covid_adjusted
2020,—,—,diagnostic,Eng,2020_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=pfjtA8b_rf4%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2020_maths_diagnostic_part1.pdf,owned,yes,NSC 2020 Diagnostic Part 1; covid_adjusted
2019,Nov,P1,exam,Eng,2019_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=Tno439ZyBcU%3d&tabid=2556&portalid=0&mid=8994,data/raw/exams/2019_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2019 P1 exam
2019,Nov,P2,exam,Eng,2019_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=s6HzylxEHVo%3d&tabid=2556&portalid=0&mid=8994,data/raw/exams/2019_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2019 P2 exam
2019,Nov,P1,memo,Eng,2019_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=n-F98_w5Zig%3d&tabid=2556&portalid=0&mid=8994,data/raw/memos/2019_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2019 P1 memo
2019,Nov,P2,memo,Eng,2019_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=DtEIXt8fp_E%3d&tabid=2556&portalid=0&mid=8994,data/raw/memos/2019_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2019 P2 memo
