document_id,question_numbers,marks,subquestions,equations
2023_nov_p1_exam_maths,0,0,0,0
2023_nov_p1_memo_maths,10,10,54,52
2023_nov_p2_exam_maths,0,0,0,0
2023_nov_p2_memo_maths,0,10,60,162
2024_nov_p1_exam_maths,0,0,0,0
2024_nov_p1_memo_maths,1,12,50,330
2024_nov_p2_exam_maths,0,0,0,0
2024_nov_p2_memo_maths,0,11,57,440
2025_nov_p1_exam_maths,0,0,0,0
2025_nov_p1_memo_maths,1,11,58,380
2025_nov_p2_exam_maths,0,0,0,0
2025_nov_p2_memo_maths,0,0,0,0
caps_mathematics_gr10_12,2,0,160,167
grade12_mathematics_exam_guideline_2021,0,0,10,16
