topic,subquestion_count,frequency_share_pct,total_marks,mark_share_pct,mean_marks,count_minus_mark_pct,assessment_pressure_score
Calculus,45,17.24,248.0,26.47,7.515151515151516,-9.23,21.85
Trigonometry,38,14.56,162.0,17.29,7.714285714285714,-2.73,15.92
Functions & Graphs,39,14.94,130.0,13.87,5.0,1.07,14.4
Analytical Geometry,33,12.64,114.0,12.17,4.956521739130435,0.47,12.4
Algebra & Equations,23,8.81,74.0,7.9,5.285714285714286,0.91,8.36
Statistics,28,10.73,51.0,5.44,4.636363636363637,5.29,8.09
Euclidean Geometry,17,6.51,67.0,7.15,6.090909090909091,-0.64,6.83
Number Patterns & Sequences,17,6.51,63.0,6.72,10.5,-0.21,6.62
Probability,16,6.13,9.0,0.96,3.0,5.17,3.54
Finance,5,1.92,19.0,2.03,9.5,-0.11,1.98
