paper,topic,subquestion_count,paper_total,share_pct
P1,Algebra & Equations,17,130,13.08
P1,Analytical Geometry,4,130,3.08
P1,Calculus,33,130,25.38
P1,Finance,5,130,3.85
P1,Functions & Graphs,27,130,20.77
P1,Number Patterns & Sequences,17,130,13.08
P1,Probability,16,130,12.31
P1,Trigonometry,11,130,8.46
P2,Algebra & Equations,6,130,4.62
P2,Analytical Geometry,29,130,22.31
P2,Calculus,12,130,9.23
P2,Euclidean Geometry,16,130,12.31
P2,Functions & Graphs,12,130,9.23
P2,Statistics,28,130,21.54
P2,Trigonometry,27,130,20.77
