topic,subquestion_count,total_marks,mean_marks,median_marks,mark_share_pct
Calculus,33,248.0,7.515151515151516,6.0,26.47
Trigonometry,21,162.0,7.714285714285714,5.0,17.29
Functions & Graphs,26,130.0,5.0,3.0,13.87
Analytical Geometry,23,114.0,4.956521739130435,3.0,12.17
Algebra & Equations,14,74.0,5.285714285714286,4.0,7.9
Euclidean Geometry,11,67.0,6.090909090909091,5.0,7.15
Number Patterns & Sequences,6,63.0,10.5,10.0,6.72
Statistics,11,51.0,4.636363636363637,3.0,5.44
Finance,2,19.0,9.5,9.5,2.03
Probability,3,9.0,3.0,3.0,0.96
