year,topic,subquestion_count,year_total,share_pct
2021,Euclidean Geometry,1,1,100.0
2023,Algebra & Equations,16,95,16.84
2023,Analytical Geometry,14,95,14.74
2023,Calculus,14,95,14.74
2023,Euclidean Geometry,7,95,7.37
2023,Functions & Graphs,15,95,15.79
2023,Number Patterns & Sequences,1,95,1.05
2023,Probability,8,95,8.42
2023,Statistics,7,95,7.37
2023,Trigonometry,13,95,13.68
2024,Algebra & Equations,6,78,7.69
2024,Analytical Geometry,9,78,11.54
2024,Calculus,15,78,19.23
2024,Euclidean Geometry,6,78,7.69
2024,Finance,3,78,3.85
2024,Functions & Graphs,6,78,7.69
2024,Number Patterns & Sequences,8,78,10.26
2024,Probability,4,78,5.13
2024,Statistics,11,78,14.1
2024,Trigonometry,10,78,12.82
2025,Algebra & Equations,1,87,1.15
2025,Analytical Geometry,10,87,11.49
2025,Calculus,16,87,18.39
2025,Euclidean Geometry,3,87,3.45
2025,Finance,2,87,2.3
2025,Functions & Graphs,18,87,20.69
2025,Number Patterns & Sequences,8,87,9.2
2025,Probability,4,87,4.6
2025,Statistics,10,87,11.49
2025,Trigonometry,15,87,17.24
