topic_v2,n_questions,mean_performance,min_performance,difficulty_norm,error_count,severe_count,error_pressure_norm,severe_pressure_norm
PROB,16,31.94,9,0.6806,13,3,0.26,0.1667
TRIG,17,43.24,28,0.5676,50,18,1.0,1.0
EUCL,35,44.46,18,0.5554,32,8,0.64,0.4444
FUNC,36,45.86,14,0.5414,39,12,0.78,0.6667
FIN,11,47.27,39,0.5273,13,4,0.26,0.2222
CALC,33,48.42,24,0.5158,17,3,0.34,0.1667
AGEO,16,48.56,8,0.5144,40,9,0.8,0.5
SEQ,27,50.63,9,0.4937,20,7,0.4,0.3889
STAT,19,61.05,33,0.3895,31,8,0.62,0.4444
ALG,11,67.0,60,0.33,15,6,0.3,0.3333
