topic_v2,n_questions,total_marks,design_marks,years_present,persistence_norm,difficulty_norm,mean_performance,exposure_norm,design_norm,priority_score
FUNC,126,358.0,35,12,1.0,0.5414,45.86,1.0,0.5714,0.7737
EUCL,102,195.0,50,12,1.0,0.5554,44.46,0.7037,1.0,0.7333
CALC,104,351.0,35,12,1.0,0.5158,48.42,0.7284,0.5714,0.682
TRIG,86,172.0,40,12,1.0,0.5676,43.24,0.5062,0.7143,0.6503
SEQ,95,218.0,25,12,1.0,0.4937,50.63,0.6173,0.2857,0.6112
AGEO,67,157.0,40,12,1.0,0.5144,48.56,0.2716,0.7143,0.5587
PROB,54,87.0,15,12,1.0,0.6806,31.94,0.1111,0.0,0.5056
STAT,81,138.0,20,12,1.0,0.3895,61.05,0.4444,0.1429,0.5034
ALG,62,155.0,25,12,1.0,0.33,67.0,0.2099,0.2857,0.4235
FIN,45,182.0,15,12,1.0,0.5273,47.27,0.0,0.0,0.4109
