topic_v2,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGEO,4.8,11.7,8.8,11.9,9.1,3.4,9.1,8.9,6.4,9.1,8.3,5.2
ALG,9.5,8.3,8.8,9.0,6.8,11.9,7.8,7.8,6.4,6.1,5.0,3.4
CALC,12.7,8.3,14.0,20.9,10.2,16.9,11.7,10.0,10.3,12.1,15.0,12.1
EUCL,17.5,23.3,15.8,14.9,13.6,10.2,7.8,13.3,6.4,9.1,10.0,8.6
FIN,3.2,3.3,3.5,6.0,6.8,6.8,9.1,5.6,6.4,7.6,1.7,3.4
FUNC,15.9,18.3,19.3,7.5,15.9,10.2,16.9,15.6,16.7,10.6,13.3,24.1
PROB,4.8,5.0,3.5,3.0,5.7,5.1,7.8,7.8,9.0,10.6,8.3,8.6
SEQ,12.7,8.3,8.8,10.4,12.5,20.3,11.7,8.9,10.3,10.6,11.7,13.8
STAT,12.7,5.0,10.5,7.5,13.6,6.8,9.1,11.1,10.3,7.6,10.0,12.1
TRIG,6.3,8.3,7.0,9.0,5.7,8.5,9.1,11.1,17.9,16.7,16.7,8.6
