year,question_number,question_title,error_text_raw,error_text_summary,source,qualitative_severity,topic
2014,1.0,ALGEBRA,Candidates wrote down the quadratic formula incorrectly from the information sheet. Some might have learnt the formula incorrectly and did not use the information sheet and this was also noted in the previous diagnostic report. Some candidates substituted the value of 2 instead of –2 for b. A few candidates were unable to write the equation in standard form. 112 REPORT ON NATIONAL SENIOR CERTIFICATE EXAMINATION,,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,"When solving exponential equations, candidates displayed no understanding of the basic exponential laws and struggled to manipulate expressions involving the addition and subtraction of exponents. Some candidates used incorrect Mathematics and arrived at the correct answer. 2 2 4 2 2 2 2 2 2 4 2       x x x x x They were awarded no marks for this response.",,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,"Some candidates were unable to simplify the quadratic equation in y correctly. In cases where candidates used the quadratic formula to solve for y first, they wrote their answers as x = ... instead of y = ... This created confusion when they then tried to solve for x as their answers already indicated solutions for x.",,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,Most candidates could obtain the critical values but were unable to provide the solution for the quadratic inequality.,,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,Candidates did not recall the theory of the nature of roots. Suggestions for improvement,,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,Learners should be required to reproduce and use the quadratic formula correctly. Teachers should use the correct mathematical language in the classroom and learners should understand the concept of standard form.,,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,"Teachers should allow learners to practise solving quadratic equations requiring the formula, in variables other than x. This should be done from the beginning of Grade 11 in an attempt to teach learners to be more discerning about the variable that needs to be solved.",,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,"Learners should be taught to round off their answers correctly to the required number of places. Unless the question states otherwise, learners are expected to round off all answers to two decimal places. This needs to be reinforced in school-based assessments.",,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,Learners should be provided with additional tasks to enable them to become proficient in using factorization when simplifying exponents.,,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,"Teachers should show learners how to solve quadratic inequalities with the aid of graphs. Teachers should explain the difference between the words ‘or’ and ‘and’ when used in Mathematics. In assessment tasks, critical values should be awarded marks only in the context of the solution of an inequality. Learners should be exposed to questions that are of a higher cognitive demand.",,DBE diagnostic,moderate_language,Algebra & Equations
2014,1.0,ALGEBRA,Nature of roots should be done in the context of the quadratic formula as well as integrated into functions. Learners need to understand the nature of the roots of an equation rather than to simply work with the discriminant.,,DBE diagnostic,moderate_language,Algebra & Equations
2014,2.0,PATTERNS,"In Q2.2, candidates confused the 251st term with the term value of 251. In this question, n was supposed to equal 251 and not Tn. This caused follow-on errors.",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,"Candidates who made the initial mistake of making Tn = 251, went on to obtain a non-natural number for n. These candidates did not realise their mistake and accepted this value of n as a valid solution.",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,"Candidates tended to determine the general term of the series easily, but had difficulty in writing the series in sigma notation. 113 DIAGNOSTIC REPORT",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,"In Q2.4, candidates again did not use the value of n = 251. Some candidates incorrectly used the decimal number for n obtained in Q2.2.",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,"In Q2.5, candidates struggled to express themselves well when trying to calculate the number of terms divisible by 4. The problem was that a new series needed to be generated in order to calculate the answer correctly. Some candidates simply worked with the multiples of 4, i.e. 4; 8; 12; . Suggestions for improvement",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,Teachers should make sure that learners know and understand the difference between an arithmetic sequence and a geometric sequence.,,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,The definition and meaning of n in a pattern needs to be emphasised by teachers. Emphasis must be placed on the fact that n can be a natural number only in the context of patterns.,,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,"Substitution of variables should be done in brackets. This will make the subsequent calculations easier and provide the learner with more opportunities to get them correct. When learners do not substitute with brackets, they tend to make many more calculation errors.",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,"Teachers should require learners to gather and list all the data required or needed for solving the problem. An idea for an arithmetic series is to get learners to list a = …d = … n = … Tn = … Sn = … and then fill in the relevant information from the question. In this way, learners can identify the information they have and what they still need to calculate.",,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,Teachers need to allow learners to practise converting effectively between sigma notation and the series.,,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,Learners need to be taught to show all the relevant working in arriving at their answer.,,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,Learners need to be exposed to higher-order thinking questions involving patterns. Teachers must guide learners to create a new sequence or series with the required information.,,DBE diagnostic,moderate_language,Sequences & Series
2014,2.0,PATTERNS,Questions entailing multi-step procedures should be dealt with frequently in assessment tasks.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"In Q3.1.2, a common error was for candidates to calculate 2a = – 2 instead of 2a = 2.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"In Q 3.1.3, candidates struggled to understand exactly what was required of them. They confused the first difference of 96 with Tn = 96.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"The most common errors in Q3.2.1 and Q3.2.2 were errors in calculation. Moreover, candidates did not follow the instruction to leave their answer in simplest form.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Candidates were unable to devise a strategy to answer Q3.3. Many did not simplify each bracket and were unable to identify the pattern that was created in the process. They also struggled to calculate the last factor of the pattern. Suggestions for improvement,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Basic algebraic and exponential manipulation needs attention. This involves being able to substitute correctly, solve quadratic equations correctly and simplify exponential expressions accurately.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Theory is an integral part of sequences and series. Learners must be taught how to distinguish which formulae to use and they must understand that the sequence of first differences in a quadratic pattern forms a linear pattern. 114 REPORT ON NATIONAL SENIOR CERTIFICATE EXAMINATION,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Learners need to be familiar with the terminology of Mathematics. Teachers should use the correct terminology in class so that learners understand various mathematical concepts.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Teachers should challenge learners in informal and formal assessment tasks by using different types of problems, including sequences that have negative values, fractions and word-type problems. QUESTION 4: FUNCTIONS (HYPERBOLA) Q4.1 and Q4.2 were answered well. Q4.4 and Q4.5 were of a higher order nature and required careful thinking. Common errors and misconceptions",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Candidates were unfamiliar with the format q p x a y   for the hyperbola. This meant that candidates wrote down the incorrect value for p.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Although Q4.3 was a basic translation question, candidates failed to apply the translation to the graph. Candidates did not write the asymptote as an equation and often gave the answer as only – 6 instead of x = – 6.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Candidates were unable to calculate the coordinates of S on account of poor algebraic manipulation. This meant that candidates could not calculate the distance OS.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"For the most part, candidates did not understand what was being asked of them in Q4.5. This question required higher-order thinking skills as it involved applying the theory of the nature of roots in a graph question. Candidates failed to make the connection between the given line and the line y = x + k. Suggestions for improvement",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Learners must be taught to write intercepts in coordinate form at al times. They should also show substitution when applicable.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Learners should be taught the correct form of the hyperbola. According to the CAPS document, it is q p x a y   .",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Teachers should strongly and repetitively emphasise that an asymptote is a straight line and hence is defined by an equation, either x = … for a vertical asymptote or y = … for a horizontal asymptote.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,It is necessary for the basic functions to be practised on a regular basis.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Basic Mathematical principles and rules need to be practised continually. As noted in previous Diagnostic Reports, problems include factorisation of expressions, the difference between intercepts and coordinates and solving an equation in which one side contains a fractional expression and the other a linear expression.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Teachers should train learners on how to sketch a graph when the equation is given and conversely to derive its equation if the graph is drawn.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Learners should be taught to interrogate the validity or reasonableness of an answer they obtain in the context of the problem.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Teachers need to make connections between Grade 10 content on solving of equations and the solution of simultaneous equations for the intersection of graphs. The skill of solving equations such as x x   1 1 2 should be mastered in Grade 10.,,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Transformations of functions must be given attention in all the grades in which functions is taught. 115 DIAGNOSTIC REPORT QUESTION 5: FUNCTIONS (EXPONENTIAL AND LOGARITHMIC) With the exception of Q5.4 and Q5.5, this question was well answered. Common errors and misconceptions",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Many candidates did not know how to prove that the value for a was 3. Instead, they used the given value of a in the initial steps of their attempted proof.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,"Many candidates understood the algorithm of deriving the inverse equation. However, the concepts of domain, range and the asymptotic behaviour of functions were lacking.",,DBE diagnostic,moderate_language,Sequences & Series
2014,3.0,PATTERNS,Candidates struggled with the interpretation of Q5.5. The problem stemmed from not knowing the correct x value for which f,,DBE diagnostic,moderate_language,Sequences & Series
