year,paper,question_number,question_title,topic,subquestion_ref,error_text,error_class,cross_topic,diagram_assumption,notation_subtype,source_section,source,raw_char_count,cleaned_char_count,mojibake_cleaned,suggestion_text
2014,P1,1,ALGEBRA,ALG,,Candidates wrote down the quadratic formula incorrectly from the information sheet. Some might have learnt the formula incorrectly and did not use the information sheet and this was also noted in the previous diagnostic report. Some candidates substituted the value of 2 instead of –2 for b. A few candidates were unable to write the equation in standard form. 112 REPORT ON NATIONAL SENIOR CERTIFICATE EXAMINATION,procedural,False,False,,errors,DBE diagnostic,419,414,True,
2014,P1,1,ALGEBRA,ALG,,"When solving exponential equations, candidates displayed no understanding of the basic exponential laws and struggled to manipulate expressions involving the addition and subtraction of exponents. Some candidates used incorrect Mathematics and arrived at the correct answer. 2 2 4 2 2 2 2 2 2 4 2       x x x x x They were awarded no marks for this response.",conceptual,False,False,,errors,DBE diagnostic,378,364,True,
2014,P1,1,ALGEBRA,ALG,,"Some candidates were unable to simplify the quadratic equation in y correctly. In cases where candidates used the quadratic formula to solve for y ¿rst, they wrote their answers as x = ... instead of y = ... This created confusion when they then tried to solve for x as their answers already indicated solutions for x.",notation,False,False,,errors,DBE diagnostic,333,318,True,
2014,P1,1,ALGEBRA,ALG,,Most candidates could obtain the critical values but were unable to provide the solution for the quadratic inequality.,general,False,False,,errors,DBE diagnostic,120,118,True,
2014,P1,1,ALGEBRA,ALG,,Candidates did not recall the theory of the nature of roots.,general,False,False,,errors,DBE diagnostic,62,60,True,
2014,P1,1,ALGEBRA,ALG,,,,,,,suggestions,DBE diagnostic,215,213,True,Learners should be required to reproduce and use the quadratic formula correctly. Teachers should use the correct mathematical language in the classroom and learners should understand the concept of standard form.
2014,P1,1,ALGEBRA,ALG,,,,,,,suggestions,DBE diagnostic,272,269,True,"Teachers should allow learners to practise solving quadratic equations requiring the formula, in variables other than x. This should be done from the beginning of Grade 11 in an attempt to teach learners to be more discerning about the variable that needs to be solved."
2014,P1,1,ALGEBRA,ALG,,,,,,,suggestions,DBE diagnostic,264,261,True,"Learners should be taught to round off their answers correctly to the required number of places. Unless the question states otherwise, learners are expected to round off all answers to two decimal places. This needs to be reinforced in school-based assessments."
2014,P1,1,ALGEBRA,ALG,,,,,,,suggestions,DBE diagnostic,137,135,True,Learners should be provided with additional tasks to enable them to become pro¿cient in using factorization when simplifying exponents.
2014,P1,1,ALGEBRA,ALG,,,,,,,suggestions,DBE diagnostic,386,381,True,"Teachers should show learners how to solve quadratic inequalities with the aid of graphs. Teachers should explain the difference between the words ‘or’ and ‘and’ when used in Mathematics. In assessment tasks, critical values should be awarded marks only in the context of the solution of an inequality. Learners should be exposed to questions that are of a higher cognitive demand."
2014,P1,1,ALGEBRA,ALG,,,,,,,suggestions,DBE diagnostic,227,225,True,Nature of roots should be done in the context of the quadratic formula as well as integrated into functions. Learners need to understand the nature of the roots of an equation rather than to simply work with the discriminant.
2014,P1,2,PATTERNS,SEQ,2.2,"In Q2.2, candidates confused the 251st term with the term value of 251. In this question, n was supposed to equal 251 and not Tn. This caused follow-on errors.",general,False,False,,errors,DBE diagnostic,161,159,True,
2014,P1,2,PATTERNS,SEQ,,"Candidates who made the initial mistake of making Tn = 251, went on to obtain a non-natural number for n. These candidates did not realise their mistake and accepted this value of n as a valid solution.",general,False,False,,errors,DBE diagnostic,204,202,True,
2014,P1,2,PATTERNS,SEQ,,"Candidates tended to determine the general term of the series easily, but had dif¿culty in writing the series in sigma notation. 113 DIAGNOSTIC REPORT",notation,False,False,,errors,DBE diagnostic,154,150,True,
2014,P1,2,PATTERNS,SEQ,2.2;2.4,"In Q2.4, candidates again did not use the value of n = 251. Some candidates incorrectly used the decimal number for n obtained in Q2.2.",procedural,False,False,,errors,DBE diagnostic,138,135,True,
2014,P1,2,PATTERNS,SEQ,2.5,"In Q2.5, candidates struggled to express themselves well when trying to calculate the number of terms divisible by 4. The problem was that a new series needed to be generated in order to calculate the answer correctly. Some candidates simply worked with the multiples of 4, i.e. 4; 8; 12; .",general,False,False,,errors,DBE diagnostic,293,290,True,
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,133,131,True,Teachers should make sure that learners know and understand the difference between an arithmetic sequence and a geometric sequence.
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,181,179,True,The de¿nition and meaning of n in a pattern needs to be emphasised by teachers. Emphasis must be placed on the fact that n can be a natural number only in the context of patterns.
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,270,267,True,"Substitution of variables should be done in brackets. This will make the subsequent calculations easier and provide the learner with more opportunities to get them correct. When learners do not substitute with brackets, they tend to make many more calculation errors."
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,363,359,True,"Teachers should require learners to gather and list all the data required or needed for solving the problem. An idea for an arithmetic series is to get learners to list a = …d = … n = … Tn = … Sn = … and then ¿ll in the relevant information from the question. In this way, learners can identify the information they have and what they still need to calculate."
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,106,105,True,Teachers need to allow learners to practise converting effectively between sigma notation and the series.
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,89,88,True,Learners need to be taught to show all the relevant working in arriving at their answer.
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,179,177,True,Learners need to be exposed to higher-order thinking questions involving patterns. Teachers must guide learners to create a new sequence or series with the required information.
2014,P1,2,PATTERNS,SEQ,,,,,,,suggestions,DBE diagnostic,95,94,True,Questions entailing multi-step procedures should be dealt with frequently in assessment tasks.
