year,paper,question_number,avg_performance_pct,source_page,raw_label
2020,P2,1,74,197,74%
2020,P2,2,75,197,75%
2020,P2,3,57,197,57%
2020,P2,4,47,197,47%
2020,P2,5,28,197,28%
2020,P2,6,44,197,44%
2020,P2,7,52,197,52%
2020,P2,8,52,197,52%
2020,P2,9,45,197,45%
2020,P2,10,43,197,43%
2020,P2,11,51,197,51%
2021,P1,1,70,188,70%
2021,P1,2,72,188,72%
2021,P1,3,50,188,50%
2021,P1,4,66,188,66%
2021,P1,5,77,188,77%
2021,P1,6,48,188,48%
2021,P1,7,51,188,51%
2021,P1,8,49,188,49%
2021,P1,9,69,188,69%
2021,P1,10,38,188,38%
2021,P1,11,8,188,8%
2021,P1,12,27,188,27%
2022,P1,1,65,200,65%
2022,P1,2,51,200,51%
2022,P1,3,64,200,64%
2022,P1,4,54,200,54%
2022,P1,5,54,200,54%
2022,P1,6,47,200,47%
2022,P1,7,61,200,61%
2022,P1,8,43,200,43%
2022,P1,9,9,200,9%
2022,P1,10,21,200,21%
2022,P1,11,47,200,47%
