year,question_number,question_title,avg_performance_pct,all_pct_mentions,grain,difficulty_band
2023,,OVERVIEW,,,overview,unknown
2023,1.0,ALGEBRA,,,question,unknown
2023,2.0,PATTERNS,,,question,unknown
2023,3.0,PATTERNS,,,question,unknown
2023,4.0,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH),,,question,unknown
2023,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),,,question,unknown
2023,6.0,FINANCE,,,question,unknown
2023,7.0,CALCULUS,,,question,unknown
2023,8.0,CALCULUS,,,question,unknown
2023,9.0,CALCULUS,,,question,unknown
2023,10.0,PROBABILITY,,,question,unknown
2023,1.0,DATA HANDLING,,,question,unknown
2023,2.0,DATA HANDLING,,,question,unknown
2023,3.0,ANALYTICAL GEOMETRY,,,question,unknown
2023,4.0,ANALYTICAL GEOMETRY,,,question,unknown
2023,5.0,TRIGONOMETRY,,,question,unknown
2023,6.0,TRIGONOMETRY (GRAPHS),,,question,unknown
2023,7.0,TRIGONOMETRY,,,question,unknown
2023,8.0,EUCLIDEAN GEOMETRY,,,question,unknown
2023,9.0,EUCLIDEAN GEOMETRY,,,question,unknown
2023,10.0,EUCLIDEAN GEOMETRY,,,question,unknown
2024,,OVERVIEW,,,overview,unknown
2024,1.0,ALGEBRA,,,question,unknown
2024,2.0,PATTERNS,,,question,unknown
2024,3.0,PATTERNS,,,question,unknown
2024,4.0,FUNCTIONS (EXPONENTIAL FUNCTION),,,question,unknown
2024,5.0,FUNCTIONS (HYPERBOLA),,,question,unknown
2024,6.0,FUNCTIONS (PARABOLA & STRAIGHT LINE),,,question,unknown
2024,7.0,FINANCE,,,question,unknown
2024,8.0,CALCULUS & INVERSE FUNCTIONS,,,question,unknown
2024,9.0,CALCULUS,,,question,unknown
2024,10.0,CALCULUS (OPTIMISATION),,,question,unknown
2024,11.0,PROBABILITY,,,question,unknown
2024,12.0,COUNTING PRINCIPLES,,,question,unknown
2024,1.0,DATA HANDLING,,,question,unknown
2024,2.0,DATA HANDLING,,,question,unknown
2024,3.0,ANALYTICAL GEOMETRY,,,question,unknown
2024,4.0,ANALYTICAL GEOMETRY,,,question,unknown
2024,5.0,TRIGONOMETRY,,,question,unknown
2024,6.0,TRIGONOMETRY,,,question,unknown
2024,7.0,TRIGONOMETRY (GRAPHS),,,question,unknown
2024,8.0,TRIGONOMETRY,,,question,unknown
2024,9.0,EUCLIDEAN GEOMETRY,,,question,unknown
2024,10.0,EUCLIDEAN GEOMETRY,,,question,unknown
2024,11.0,EUCLIDEAN GEOMETRY,,,question,unknown
2025,,OVERVIEW,,,overview,unknown
2025,1.0,ALGEBRA,,,question,unknown
2025,2.0,PATTERNS,,,question,unknown
2025,3.0,PATTERNS,,,question,unknown
2025,4.0,FUNCTIONS (EXPONENTIAL FUNCTION AND ITS INVERSE),,,question,unknown
2025,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),,,question,unknown
2025,6.0,FUNCTIONS (HYPERBOLA and STRAIGHT LINE),,,question,unknown
2025,7.0,FINANCE,,,question,unknown
2025,8.0,CALCULUS,,,question,unknown
2025,9.0,CALCULUS,,,question,unknown
2025,10.0,CALCULUS (OPTIMISATION),,,question,unknown
2025,11.0,PROBABILITY,,,question,unknown
2025,1.0,DATA HANDLING,,,question,unknown
2025,2.0,DATA HANDLING,,,question,unknown
2025,3.0,ANALYTICAL GEOMETRY,,,question,unknown
2025,4.0,ANALYTICAL GEOMETRY,,,question,unknown
2025,5.0,TRIGONOMETRY,,,question,unknown
2025,6.0,TRIGONOMETRY,,,question,unknown
2025,7.0,TRIGONOMETRY (GRAPHS),,,question,unknown
2025,8.0,TRIGONOMETRY,,,question,unknown
2025,9.0,EUCLIDEAN GEOMETRY,,,question,unknown
2025,10.0,EUCLIDEAN GEOMETRY,,,question,unknown
2025,11.0,EUCLIDEAN GEOMETRY,,,question,unknown
