year,question_number,question_title,block_text,paper
2023,,OVERVIEW,"Mathematics
CHAPTER 10
MATHEMATICS
The following report should be read in conjunction with the Mathematics question
papers for the NSC November 2023 examinations.
10.1 PERFORMANCE TRENDS (2019–2023)
The number of candidates who wrote the Mathematics examination in 2023 decreased by
7 718 compared to that of 2022.
There was a significant improvement in the pass rate this year. Candidates who passed at the
30% level improved from 55% in 2022 to 63,5% in 2023. There was a corresponding
improvement in the pass rate at the 40% level over the past two years from 36% to 43,6%.
The percentage of distinctions over 80% improved from 2,7% in 2022 to 3,4% in 2023. Given
the decrease in the size of the 2023 cohort, this converts into an increase in the total number
of distinctions from 7 283 to 8 909.
The various commendable intervention strategies employed by teachers, subject advisors and
provincial education departments were continued in 2023. The resourcefulness and diligence
of the above-average candidates also contributed to the overall improvement in the subject.
Table 10.1.1 Overall achievement rates in Mathematics
No. achieved at % achieved at No. achieved at % achieved at
Year No. wrote
30% and above 30% and above 40% and above 40% and above
2019 222 034 121 179 54,6 77 751 35,0
2020 233 315 125 526 53,8 82 964 35,6
2021 259 143 149 177 57,6 97 561 37,6
2022 269 734 148 346 55,0 97 041 36,0
2023 262 016 166 337 63,5 114 311 43,6
National Senior Certificate 211 Diagnostic Report 2023 – Part 1

Mathematics
Graph 10.1.1 Overall achievement rates in Mathematics (percentage)
70.0
60.0
50.0
40.0
30.0
20.0
10.0
0.0
2019 2020 2021 2022 2023
2019 2020 2021 2022 2023
% achieved at 30% and above 54.6 53.8 57.6 55.0 63.5
% achieved at 40% and above 35.0 35.6 37.6 36.0 43.6
Graph 10.1.2 Performance distribution curves in Mathematics (percentage)
25.0
20.0
15.0
10.0
5.0
0.0
0-9.9 10-19.9 20-29.9 30-39.9 40-49.9 50-59.9 60-69.9 70-79.9 80-89.9 90-100
2019 9.2 17.2 19.0 19.6 14.7 9.6 5.6 3.1 1.5 0.4
2020 12.1 16.5 17.5 18.2 13.2 9.1 6.1 3.9 2.3 0.9
2021 9.7 15.3 17.4 19.9 14.7 9.7 6.4 3.8 2.1 0.8
2022 10.8 16.4 17.8 19.0 13.9 9.5 6.1 3.8 2.0 0.7
2023 6.6 13.3 16.7 19.9 16.1 11.8 7.6 4.7 2.5 0.9
National Senior Certificate 212 Diagnostic Report 2023 – Part 1

Mathematics
10.2 OVERVIEW OF CANDIDATES’ PERFORMANCE IN PAPER 1
(a) Many candidates were able to answer the knowledge and routine questions correctly.
This suggests that the candidates were well-prepared to deal with these questions in
the paper. Unlike in the past, candidates scored some marks in most of the questions.
(b) The algebraic skills of the candidates are poor. Most candidates lacked fundamental
and basic mathematical competencies which should have been acquired in the lower
grades. This becomes an impediment to candidates when answering complex
questions.
(c) While calculations and performing well-known routine procedures form the basis of
answering questions in a Mathematics paper, a deeper understanding of definitions
and concepts cannot be overlooked. Candidates did not fare well in answering
questions that assessed an understanding of concepts.
10.3 DIAGNOSTIC QUESTION ANALYSIS OF PAPER 1
The following graph is based on data from a random sample of candidates’ scripts. While this
graph might not accurately reflect national averages, it is useful in assessing the relative
degrees of challenge of each question as experienced by candidates.
Graph 10.3.1 Average performance per question in Paper 1
Q Topics
Mathematics P1
Equations, Inequalities
80% & Algebraic and
1
71% 72% Exponential
70% 66% Manipulation
Number Patterns &
2
60% Sequences
55%
% 52% Number Patterns &
e c 50% 48% 48% 47% 3 Sequences
n
a Functions, Inverse
m 4
r o 40% Functions & Graphs
f r 32%
e 30%
p 5 Functions & Graphs
.e 30% 26%
v
A
6 Finance
20%
7 Calculus
10%
8 Calculus
0%
1 2 3 4 5 6 7 8 9 10 Total
9 Calculus
Question
Probability & Counting
10
Principles
National Senior Certificate 213 Diagnostic Report 2023 – Part 1

Mathematics
Graph 10.3.2 Average performance per sub-question in Paper 1
10.4 ANALYSIS OF CANDIDATES’ PERFORMANCE IN EACH QUESTION IN
PAPER 1",
2023,1.0,ALGEBRA,"QUESTION 1: ALGEBRA
Common errors and misconceptions
(a) In Q1.1.2 some candidates did not write the equation correctly in standard form, so
they incorrectly substituted ‘6’ as the value of c instead of ‘–6’.
(b) In Q1.1.3 many candidates were able to square the equation correctly but then
factorised x2 −4x =0 incorrectly as (x−2)(x+2)=0 . Some divided x2 −4x =0
through by x which meant that the candidate lost a solution to the equation.
(c) Many candidates struggled to solve the inequality in Q1.1.4 after correctly calculating
the critical values. Some candidates drew a sketch but were unable to use it to write
down the required answer. Another common error was the incorrect notation in the
answer. Candidates wrote the answer as
National Senior Certificate 214 Diagnostic Report 2023 – Part 1
x  − 1 or x  3 instead of x  − 1 o r x  3 .
(d) The simultaneous equation given in fraction form in Q1.2 proved challenging for most
candidates. The notion of isolating the one variable and substituting this into the
second equation was well understood. However, candidates changed
1
x
+
1
y
= 1 to
−1 −1
x +y =1 and then after substitution incorrectly worked with the exponent of –1.
(e) In Q1.3 many candidates were able to write the exponents with separate bases, i.e.
2 m . 2 + 2 m = 3 n . 3 2 − 3 n
Mathematics P1
100%
89% 88%
90% 84% 83%
80% 79%
80% 74% 77%
70%
% 70% 65%
e 62% 63% 63% 63%
c 60%
n a m 60% 55% 57% 54% 52%
r o 50% 47% 45%
f 42% 42%
r
e p .e 40% 32% 35% 36% 33% 31%
28%
v 30%
A
19% 18% 20%
20% 16%
14% 15%
10% 8%
2%
0%
1.1 1.3 2.2 3.2 4.2 4.4 4.6 5.1 5.3 5.5 5.7 6.2 7.1 7.3 8.2 8.4 9.1 10.1 10.3
Sub-question
. However, some failed to factorise the resulting expression
correctly, i.e. 2m.(2+1)=3n. ( 32 −1 ). The majority of the candidates just worked with

Mathematics
the exponents and this resulted in an equation
National Senior Certificate 215 Diagnostic Report 2023 – Part 1
m + 1 + m = n + 2 − n which did not lead
them to solving the given problem.
Suggestions for improvement
(a) Learners must ensure that they understand what correct standard form is in a quadratic
equation.
(b) Learners must be taught to check their solutions when using the squaring technique to
solve an equation that is not originally quadratic.
(c) Emphasis must be given to working with lowest common denominators to solve
fraction-based problems.
(d) When dealing with surd equations, learners should be reminded that they need to
isolate the radical before they can square both sides of the equation. Teachers must
emphasise that implicit restrictions are placed on surd equations and that learners
should continue to test whether their answers satisfy the original equation.
(e) Learners need to be exposed to complex questions involving surds and exponents.
Correct use of exponential rules must be revised, tested and re-explained from Grade
9 through to the final Grade 12 examination.
(f) Regular revision and emphasis on working with prime bases in exponents is important.
(g) Learners need to be exposed to problem-solving questions involving algebraic
manipulation in all areas of algebra. This requires regular revision and testing of non-
routine questions in the algebra section, focusing on a range of skills that candidates
need to have mastered from Grade 10.
(h) As suggested in previous reports:
• Teachers should not take for granted that learners know how to round off a number
to the required number of places. Where necessary, this skill should be retaught
in Grades 11 and 12. Teachers should penalise learners in SBA tasks when they
do not round off to the correct number of places.
• Teachers should take some time, preferably in Grade 10, to focus on teaching
learners how to represent inequalities (e.g. − 3  x  5 ; x  − 3 or x  5 ) on a
number line and also how to write an inequality from the illustration on a number
line. This will benefit learners as they are required to write inequality solutions for
a number of questions in both examination papers. Emphasis on the correct
notation is essential when writing down the solutions to inequalities.
• Linked to this, teachers should explain the difference between and and or in the
context of inequalities. Learners cannot use these words interchangeably as they
have different meanings.",P1
2023,2.0,PATTERNS,"QUESTION 2: PATTERNS
Common errors and misconceptions
(a) The most common errors in Q2.1 and its sub-questions were the use of incorrect
formulae (i.e. T n =a(n−1)d rather than T n =a+(n−1)d) or incorrect substitution of n
T S
as n or n.

Mathematics
(b) Many candidates substituted n = 5 into the given
National Senior Certificate 216 Diagnostic Report 2023 – Part 1
T
n
formula in Q2.1.2 to answer
Q2.1.1 rather than developing the quadratic pattern. The candidates knew how to
develop the pattern as this was well done in Q2.1.2, when asked to show that the
quadratic pattern had a general term of T
n
= 6 n
2
− 9 n + 6 , but the link was not made
between determining the formula of a quadratic pattern and generation of the quadratic
pattern.
(c) In Q2.2.3 most candidates could not show that the pattern was increasing for all natural
numbers. They were not able to manipulate the quadratic pattern as a quadratic
function to provide the argument of where the axis of symmetry of the pattern was.
Suggestions for improvement
(a) Learners must be made aware of which formulae on the information sheet apply to
which type of sequence. It is good practice for them to use the information sheet in
class so that they become familiar with it.
(b) Teach learners how to identify whether the question requires them to calculate the
value of the nth term or the sum of the first n terms.
(c) Questions must be read carefully so that the learners know what is required of them.
(d) Learners should be discouraged from using information provided in later questions to
answer earlier questions in an examination. Learners must be encouraged to develop
patterns using their properties rather than using their explicit general terms. The
understanding of where a pattern ‘starts’ and what the pattern ‘does’ is important to
emphasise. The basic diagram was sufficient in answering Q2.2.1.
(e) Teachers need to specifically teach the relationships between a quadratic pattern and
a parabola, making particular reference to the axis of symmetry and minimum or
maximum values of the pattern.",P1
2023,3.0,PATTERNS,"QUESTION 3: PATTERNS
Common errors and misconceptions
(a) Candidates were correctly able to determine the general term, however, most
candidates incorrectly simplified T
n
= 3 . 2
n − 1
to T
n
= 6
n − 1
. This did not impact the
candidates in Q3.1.1 but did impact the candidates’ ability to correctly solve Q3.1.2.
(b) Many candidates did not make the link between n and k in the sigma notation in Q3.1.2.
The candidates also showed little understanding of how to generate a series from
sigma notation to identify the a and the r values. Further to this, some candidates
substituted the calculated information into T rather than S .
n n

Mathematics
(c) Most candidates were unable to answer Q3.2 correctly. The interpretation of ‘The sum
of 22 terms of the arithmetic series is 734 more than the sum to infinity of the geometric
sequence’ was incorrectly translated to S =734.
22
Suggestions for improvement
(a) Teachers should emphasise the differences between the term, sum and sum to infinity
formulae in arithmetic and geometric patterns.
(b) The inclusion of word problems in the patterns section is important. Teachers need to
emphasise how to take the words of a problem and write it in symbolic form to solve
an equation or inequality.
(c) Constant revision of exponential laws to solve equations correctly is pivotal to
candidates’ success. Teachers need to emphasise this and revise this thoroughly in
all grades.",P1
2023,4.0,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH),"QUESTION 4: FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH)
Common errors and misconceptions
(a) Many candidates did not calculate the coordinates of the x-intercept, A, correctly in
Q4.3 which resulted in an incorrect equation of the straight line.
(b) Most candidates did not understand the concept of vertical distance in Q4.4. The
candidates substituted incorrect points into the distance formula in an attempt to
calculate any distance.
(c) In Q4.4 some candidates left their answer for the vertical distance between the
functions at x = 1 as a negative value.
(d) The majority of candidates did not realise that the given function had a restricted
domain which in turn meant the inverse of the given function would have a restricted
domain. The candidates had learnt that the domain of the inverse was x 0, which is
true for an unrestricted logarithm function.
Suggestions for improvement
(a) Teachers need to emphasise what the points on a graph are and help learners identify
what the properties of these points are before they start answering a question.
(b) Vertical and horizontal distances should be explained without the use of the distance
formula when interpreting functions. In conjunction with this, teachers must emphasise
that distance is a scalar property and cannot be negative.
(c) Teachers should work with restricted domain graphs in class to make learners aware
that functions can be restricted and emphasise the effect this has on their properties.
National Senior Certificate 217 Diagnostic Report 2023 – Part 1

Mathematics",P1
2023,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),"QUESTION 5: FUNCTIONS (HYPERBOLA AND PARABOLA)
Common errors and misconceptions
(a) In Q5.4 many candidates forgot the restriction of the horizontal asymptote on the range
of the function, possibly because it was the x-axis and visually drawn on the graph as
an asymptote.
(b) Most candidates were unable to interpret Q5.5 correctly from the given graph. Many
tried to solve the inequality algebraically and others did not take cognisance of the
vertical asymptote of the hyperbola.
(c) The majority of candidates did not understand the terminology ‘will not intersect’ and
tried to solve for
National Senior Certificate 218 Diagnostic Report 2023 – Part 1
− 2 x + k 
8
x
or − 2 x + k 
8
k
which led them to incorrect solutions and
misinterpretation of the question. The integration of nature of roots into functions was
not commonly understood by candidates.
(d) Q5.7 was not understood by many candidates. The link between Q5.6 and Q5.7 was
not seen by the candidates which resulted in very few candidates attempting to answer
this question.
Suggestions for improvement
(a) Teachers should spend some time on graphical interpretation of functions. This can
be started with the very first graph that is sketched in Grade 10. The concepts of
f(x)0, f ( x )  g ( x ) and f ( x ) g. ( x )  0 must be emphasised throughout the FET
phase when teaching functions.
(b) The link for learners between the algebraic work (i.e. nature of roots, simultaneous
equations and inequalities) and the graphical representation must be created by the
teacher when working with functions. However, teachers need to emphasise the
importance of understanding these concepts and teach the learners to read off the
solutions to the questions from the graph. Not all solutions in functions questions need
be algebraic – this practice seems to be the default for most candidates.
(c) The integration of calculus into functions is an important concept for teachers to revise,
test and practise with learners.",P1
2023,6.0,FINANCE,"QUESTION 6: FINANCE
Common errors and misconceptions
(a) In Q6.1 many of the candidates who did not solve for the value of r, did not use the
value of n as 6. Generally, candidates found it difficult to deal with months if they
1
were not a multiple of 12. Some candidates used n = while many used 72 months.
2
(b) In Q6.1 it was a common error for candidates not to divide the rate by 12 in the formula
to calculate the nominal interest rate correctly.
(c) Many candidates used the incorrect formulae in all questions related to financial
mathematics. In addition, the candidates commonly did not use their calculator
correctly to calculate the final answer.

Mathematics
(d) In Q6.2.2 many candidates used the present value formula rather than the future value
formula.
(e) Most candidates in Q6.3 did not use logarithms correctly, and if they did, the
candidates rounded their answer of n = 147,8 to n = 148. This indicated a
misconception of the number of withdrawals of R20 000 that could have been made.
Suggestions for improvement
(a) Learners need deeper insight into the relevance of each of the formulae and under
which circumstances each formula can be used. The variables in each formula must
be explained. More practice in Financial Mathematics is necessary so that learners
can identify when to use the different formulae.
(b) Teachers should demonstrate all the steps required when using a calculator. This
should be done repetitively in class with every example done in Financial Mathematics.
In formal assessment tasks at school, learners should be penalised for rounding off
early.
(c) The difference between compound interest, future value- and present value annuities
must be thoroughly explained.
(d) The correct Financial Mathematics language should be used in class and learners
should read the question with understanding.
(e) Teachers need to emphasise – and learners need to practise – using different
compounding periods for time intervals other than in years.",P1
2023,7.0,CALCULUS,"QUESTION 7: CALCULUS
Common errors and misconceptions
(a) In Q7.1 some candidates made the following notational errors:
National Senior Certificate 219 Diagnostic Report 2023 – Part 1
lim
h → 0
=
f ( x + h )
h
− f ( x )
or left out the limit of h altogether. They lost a mark for these errors. Other candidates
made errors in substitution.
(b) In Q7.2.2 candidates incorrectly changed 7 . 3 x 2
3
to 7x2 instead of 7 x
23
.
(c) When answering Q7.3, many candidates calculated the first derivatives correctly.
However, they did not understand how to solve the inequality x 2 
4
3
, partly because
the square root of
4
3
is not a rational number and partly because of a lack of
understanding of how to work with inequalities.
Suggestions for improvement
(a) Emphasis should be placed on the use of the correct notation when determining the
derivative, either when using first principles or the rules.

Mathematics
(b) Teachers should revise the rules of exponents and surds when changing an
expression into differentiable format.
(c) The concepts of gradient of tangent and point of inflection must be understood.
Teachers should explain the difference between the two concepts.
(d) Integration and re-emphasis of algebraic concepts, viz fractions, factorising,
inequalities and exponential rules, should be emphasised when working with calculus.",P1
2023,8.0,CALCULUS,"QUESTION 8: CALCULUS
Common errors and misconceptions
(a) Some candidates did not realise that the function in Q8.1 was already factorised for
them. They expanded the factors and equated to the left side. Instead of getting zero,
they created another function. These candidates also solved for the x-intercepts rather
than the x-coordinates of the turning points first.
(b) In Q8.1 candidates did not equate the derivative to 0 explicitly. Some candidates only
worked out the x values without calculating the corresponding y values. This led to an
incorrect graph in Q8.2. Other candidates attempted to use the quadratic equation
principle of
National Senior Certificate 220 Diagnostic Report 2023 – Part 1
x = −
b
a 2
to calculate the x-coordinate of the turning point which does not
lead to the correct answer in a cubic function.
(c) Many candidates did not label the graph in Q8.2 even though it was explicitly asked of
them to do so. Other candidates could not draw the cubic function and drew a version
of a parabola. A common mistake was not indicating the y-intercept.
(d) In Q8.3 most candidates did not use graphical interpretation to answer this question
but rather used quadratic function theory and substituted in b 2 − 4 a c which was
incorrect.
(e) In Q8.4 many candidates substituted into m =


y
x
to calculate a gradient rather than
using calculus methods to solve for the gradient.
(f) Many candidates equated m = t a n  where the gradient they had calculated was a
negative value. The link that the gradient was positive was not recognised by the
candidates.
Suggestions for improvement
(a) Learners should be taught to determine the properties of a graph from Grade 10 to 12
in a progressive manner. The defining property of a turning point having a zero gradient
is a way to describe a turning point. Teachers need to prove this link between the
definition of a turning point and the Grade 11 concept of determining the axis of
symmetry to calculate the x-coordinate of the turning point.
(b) When teaching factorisation of third-degree polynomials, teachers should include
examples where there is only one real root.
(c) Teachers should continue to teach graphical interpretation in cubic graphs as a follow
on from the interpretation taught in Grade 10 and 11.

Mathematics
(d) The concept of the point of inflection needs to be taught explicitly.
(e) The application of Calculus lends itself to many applications. Teachers need to expose
learners to a wide variety of questions, which include integration of topics including
analytical geometry, measurement and trigonometry.",P1
2023,9.0,CALCULUS,"QUESTION 9: CALCULUS
Common error and misconception
(a) The vast majority of the candidates did not attempt this question because they were
unable to formulate the equation required in Q9.1.
(b) Many candidates did not use the given equation in Q9.1 to answer Q9.2.
(c) Some common errors included:
1
• Candidates simplified the equation required in Q9.2 to x−2 = and then
576
incorrectly concluded that
National Senior Certificate 221 Diagnostic Report 2023 – Part 1
x =
2
1
4
.
• Candidates calculated that x 2 = 5 7 6 and then concluded that x = − 2 4 rather than
x = 2 4 .
Suggestions for improvement
(a) Learners appear to be dependent on the formulae being given when solving
optimisation problems. It is advisable that learners interrogate the optimum function
even when it is given in a question. This should help their conceptual development.
(b) Teachers should ensure that there is enough time for learners to understand the
application of Calculus fully.
(c) Reading for understanding should be ongoing if learners are to improve their
responses to word problems.",P1
