year,topic,error_class,count
2014,AGEO,general,3
2014,AGEO,procedural,8
2014,AGEO,reading,3
2014,ALG,conceptual,1
2014,ALG,general,2
2014,ALG,notation,1
2014,ALG,procedural,1
2014,CALC,conceptual,2
2014,CALC,general,5
2014,CALC,notation,2
2014,CALC,procedural,3
2014,CALC,reading,1
2014,EUCL,conceptual,1
2014,EUCL,general,4
2014,EUCL,procedural,11
2014,EUCL,reading,1
2014,FIN,conceptual,2
2014,FIN,general,2
2014,FUNC,conceptual,3
2014,FUNC,general,6
2014,FUNC,procedural,3
2014,PROB,conceptual,2
2014,PROB,general,1
2014,PROB,notation,1
2014,PROB,procedural,1
2014,SEQ,general,6
2014,SEQ,notation,1
2014,SEQ,procedural,2
2014,STAT,conceptual,5
2014,STAT,general,3
2014,STAT,procedural,1
2014,STAT,reading,1
2014,TRIG,conceptual,2
2014,TRIG,general,5
2014,TRIG,notation,3
2014,TRIG,procedural,3
2014,TRIG,reading,1
2015,AGEO,general,8
2015,AGEO,procedural,4
2015,ALG,conceptual,1
2015,ALG,general,2
2015,ALG,notation,1
2015,ALG,procedural,3
2015,CALC,conceptual,1
2015,CALC,general,4
2015,CALC,notation,1
2015,CALC,procedural,5
2015,EUCL,conceptual,1
2015,EUCL,general,10
2015,EUCL,procedural,6
2015,FIN,general,3
2015,FUNC,general,11
2015,FUNC,procedural,3
2015,FUNC,reading,2
2015,PROB,general,3
2015,PROB,notation,1
2015,PROB,procedural,1
2015,SEQ,general,2
2015,SEQ,notation,2
2015,SEQ,procedural,2
2015,STAT,conceptual,2
2015,STAT,general,6
2015,STAT,procedural,2
2015,TRIG,conceptual,1
2015,TRIG,general,8
2015,TRIG,notation,1
2015,TRIG,procedural,4
2016,AGEO,general,7
2016,AGEO,procedural,10
2016,ALG,conceptual,1
2016,ALG,general,1
2016,ALG,notation,1
2016,ALG,procedural,2
2016,CALC,conceptual,1
2016,CALC,general,6
2016,CALC,notation,3
2016,EUCL,arithmetic,1
2016,EUCL,general,7
2016,EUCL,procedural,6
2016,EUCL,reading,1
2016,FIN,general,4
2016,FIN,procedural,1
2016,FUNC,general,9
2016,FUNC,notation,2
2016,FUNC,procedural,2
2016,PROB,general,3
2016,SEQ,conceptual,1
2016,SEQ,general,2
2016,SEQ,procedural,1
2016,STAT,general,3
2016,STAT,procedural,2
2016,TRIG,general,9
2016,TRIG,notation,1
2016,TRIG,procedural,5
2017,AGEO,general,9
2017,AGEO,procedural,2
2017,ALG,general,3
2017,ALG,notation,1
2017,ALG,procedural,2
2017,CALC,conceptual,1
2017,CALC,general,4
2017,CALC,notation,2
2017,CALC,procedural,2
2017,EUCL,general,12
2017,EUCL,procedural,5
2017,FIN,general,2
2017,FIN,procedural,1
2017,FUNC,general,9
2017,FUNC,procedural,1
2017,PROB,conceptual,1
2017,PROB,general,5
2017,PROB,reading,1
2017,SEQ,arithmetic,1
2017,SEQ,conceptual,1
2017,SEQ,general,3
2017,SEQ,notation,1
2017,SEQ,procedural,1
2017,STAT,general,4
2017,STAT,procedural,2
2017,STAT,reading,1
2017,TRIG,general,5
2017,TRIG,procedural,8
2018,AGEO,general,6
2018,AGEO,procedural,5
2018,ALG,conceptual,1
2018,ALG,notation,1
2018,ALG,procedural,4
2018,CALC,conceptual,1
2018,CALC,general,5
2018,CALC,notation,1
2018,CALC,procedural,3
2018,EUCL,general,8
2018,EUCL,notation,1
2018,EUCL,procedural,3
2018,FIN,general,1
2018,FIN,procedural,2
2018,FIN,reading,1
2018,FUNC,conceptual,3
2018,FUNC,general,4
2018,FUNC,notation,1
2018,FUNC,procedural,6
2018,FUNC,reading,1
2018,PROB,general,3
2018,PROB,notation,1
2018,PROB,reading,1
2018,SEQ,arithmetic,1
2018,SEQ,general,4
2018,SEQ,notation,2
2018,SEQ,procedural,1
2018,SEQ,reading,1
2018,STAT,conceptual,1
2018,STAT,general,7
2018,STAT,procedural,2
2018,TRIG,arithmetic,1
2018,TRIG,conceptual,1
2018,TRIG,general,5
2018,TRIG,procedural,6
2019,AGEO,general,2
2019,AGEO,notation,1
2019,AGEO,procedural,3
2019,ALG,conceptual,1
2019,ALG,general,4
2019,ALG,notation,1
2019,ALG,procedural,4
2019,CALC,general,5
2019,CALC,notation,1
2019,CALC,procedural,2
2019,EUCL,general,1
2019,EUCL,procedural,7
2019,FIN,general,2
2019,FIN,procedural,3
2019,FIN,reading,1
2019,FUNC,conceptual,1
2019,FUNC,general,5
2019,FUNC,notation,2
2019,FUNC,procedural,4
2019,PROB,general,1
2019,PROB,notation,1
2019,PROB,reading,1
2019,SEQ,general,4
2019,SEQ,procedural,3
2019,SEQ,reading,1
2019,STAT,general,4
2019,STAT,procedural,3
2019,TRIG,general,3
2019,TRIG,notation,1
2019,TRIG,procedural,3
2020,AGEO,general,4
2020,AGEO,procedural,7
2020,ALG,conceptual,1
2020,ALG,general,2
2020,ALG,notation,1
2020,ALG,procedural,1
2020,ALG,reading,1
2020,CALC,general,4
2020,CALC,notation,2
2020,CALC,presentation,1
2020,CALC,procedural,3
2020,EUCL,general,4
2020,EUCL,procedural,9
2020,FIN,general,1
2020,FIN,procedural,4
2020,FUNC,conceptual,1
2020,FUNC,general,3
2020,FUNC,notation,3
2020,FUNC,procedural,7
2020,PROB,conceptual,1
2020,PROB,general,1
2020,PROB,notation,1
2020,PROB,procedural,1
2020,PROB,reading,1
2020,SEQ,arithmetic,1
2020,SEQ,notation,1
2020,SEQ,procedural,4
2020,STAT,conceptual,2
2020,STAT,general,3
2020,STAT,procedural,3
2020,TRIG,arithmetic,1
2020,TRIG,general,4
2020,TRIG,notation,2
2020,TRIG,procedural,8
2021,AGEO,general,9
2021,AGEO,notation,1
2021,AGEO,procedural,5
2021,ALG,conceptual,1
2021,ALG,general,1
2021,ALG,procedural,3
2021,ALG,reading,1
2021,CALC,general,2
2021,CALC,notation,1
2021,CALC,procedural,3
2021,EUCL,general,3
2021,EUCL,notation,1
2021,EUCL,procedural,9
2021,FIN,general,1
2021,FIN,procedural,4
2021,FUNC,general,3
2021,FUNC,procedural,11
2021,PROB,general,4
2021,PROB,reading,1
2021,SEQ,arithmetic,2
2021,SEQ,conceptual,1
2021,SEQ,notation,2
2021,SEQ,procedural,3
2021,STAT,general,4
2021,STAT,procedural,6
2021,STAT,reading,1
2021,TRIG,general,3
2021,TRIG,notation,1
2021,TRIG,procedural,9
2021,TRIG,reading,1
2022,AGEO,general,2
2022,AGEO,procedural,9
2022,AGEO,reading,1
2022,ALG,conceptual,1
2022,ALG,general,3
2022,ALG,notation,1
2022,ALG,procedural,2
2022,CALC,general,2
2022,CALC,notation,1
2022,CALC,procedural,3
2022,EUCL,general,3
2022,EUCL,notation,1
2022,EUCL,procedural,7
2022,FIN,procedural,2
2022,FUNC,general,2
2022,FUNC,notation,4
2022,FUNC,procedural,4
2022,PROB,general,3
2022,PROB,procedural,1
2022,SEQ,general,1
2022,SEQ,notation,1
2022,SEQ,procedural,3
2022,STAT,general,7
2022,STAT,procedural,4
2022,STAT,reading,1
2022,TRIG,general,3
2022,TRIG,procedural,10
2022,TRIG,reading,2
2023,AGEO,general,4
2023,AGEO,procedural,10
2023,ALG,notation,1
2023,ALG,procedural,4
2023,CALC,general,5
2023,CALC,notation,1
2023,CALC,procedural,6
2023,EUCL,conceptual,1
2023,EUCL,general,3
2023,EUCL,notation,1
2023,EUCL,procedural,6
2023,FIN,conceptual,1
2023,FIN,general,3
2023,FIN,procedural,1
2023,FUNC,conceptual,1
2023,FUNC,general,4
2023,FUNC,procedural,3
2023,PROB,general,3
2023,PROB,procedural,1
2023,SEQ,arithmetic,1
2023,SEQ,general,1
2023,SEQ,notation,1
2023,SEQ,procedural,3
2023,STAT,general,5
2023,STAT,procedural,3
2023,STAT,reading,1
2023,TRIG,general,8
2023,TRIG,procedural,8
2023,TRIG,reading,2
2024,AGEO,general,4
2024,AGEO,notation,1
2024,AGEO,procedural,8
2024,ALG,general,2
2024,ALG,notation,1
2024,ALG,procedural,2
2024,CALC,conceptual,1
2024,CALC,general,6
2024,EUCL,general,2
2024,EUCL,notation,1
2024,EUCL,presentation,1
2024,EUCL,procedural,5
2024,FIN,general,2
2024,FIN,procedural,1
2024,FIN,reading,1
2024,FUNC,conceptual,3
2024,FUNC,general,8
2024,FUNC,notation,1
2024,FUNC,procedural,7
2024,PROB,conceptual,1
2024,PROB,general,2
2024,PROB,procedural,3
2024,SEQ,general,2
2024,SEQ,notation,1
2024,SEQ,procedural,1
2024,STAT,conceptual,1
2024,STAT,general,3
2024,STAT,procedural,8
2024,STAT,reading,1
2024,TRIG,conceptual,1
2024,TRIG,general,2
2024,TRIG,notation,1
2024,TRIG,procedural,10
2024,TRIG,reading,2
2025,AGEO,general,4
2025,AGEO,procedural,7
2025,AGEO,reading,2
2025,ALG,notation,1
2025,ALG,procedural,4
2025,CALC,general,4
2025,CALC,notation,2
2025,CALC,procedural,2
2025,EUCL,conceptual,1
2025,EUCL,general,6
2025,EUCL,procedural,5
2025,FIN,procedural,3
2025,FIN,reading,1
2025,FUNC,general,3
2025,FUNC,notation,2
2025,FUNC,procedural,7
2025,PROB,general,2
2025,PROB,procedural,2
2025,SEQ,conceptual,1
2025,SEQ,general,2
2025,SEQ,notation,1
2025,SEQ,procedural,5
2025,SEQ,reading,1
2025,STAT,conceptual,1
2025,STAT,general,3
2025,STAT,procedural,4
2025,STAT,reading,1
2025,TRIG,arithmetic,1
2025,TRIG,conceptual,1
2025,TRIG,general,6
2025,TRIG,notation,1
2025,TRIG,procedural,6
2025,TRIG,reading,1
