year,paper,question_number,avg_performance_pct,topic_v2
2014,P1,1,70,ALG
2014,P1,2,58,SEQ
2014,P1,3,50,SEQ
2014,P1,4,49,FUNC
2014,P1,5,44,FUNC
2014,P1,6,37,FUNC
2014,P1,7,52,FIN
2014,P1,8,53,CALC
2014,P1,9,32,CALC
2014,P1,10,39,CALC
2014,P1,11,29,PROB
2014,P1,12,29,PROB
2014,P2,1,69,STAT
2014,P2,2,61,STAT
2014,P2,3,57,AGEO
2014,P2,4,57,AGEO
2014,P2,5,42,TRIG
2014,P2,6,34,TRIG
2014,P2,7,37,TRIG
2014,P2,8,59,EUCL
2014,P2,9,38,EUCL
2014,P2,10,34,EUCL
2015,P1,1,60,ALG
2015,P1,2,60,SEQ
2015,P1,3,60,SEQ
2015,P1,4,56,FUNC
2015,P1,5,47,FUNC
2015,P1,6,26,FUNC
2015,P1,7,43,FIN
2015,P1,8,52,CALC
2015,P1,9,29,CALC
2015,P1,10,22,CALC
2015,P1,11,28,PROB
2015,P2,1,72,STAT
2015,P2,2,33,STAT
2015,P2,3,51,AGEO
2015,P2,4,64,AGEO
2015,P2,5,49,TRIG
2015,P2,6,42,TRIG
2015,P2,7,39,TRIG
2015,P2,8,56,EUCL
2015,P2,9,28,EUCL
2015,P2,10,38,EUCL
2015,P2,11,29,EUCL
2016,P1,1,70,ALG
2016,P1,2,54,SEQ
2016,P1,3,31,SEQ
2016,P1,4,42,FUNC
2016,P1,5,39,FUNC
2016,P1,6,27,FUNC
2016,P1,7,50,FIN
2016,P1,8,42,CALC
2016,P1,9,38,CALC
2016,P1,10,24,CALC
2016,P1,11,41,PROB
2016,P1,12,69,PROB
2016,P2,1,74,STAT
2016,P2,2,52,STAT
2016,P2,3,59,AGEO
2016,P2,4,69,AGEO
2016,P2,5,44,TRIG
2016,P2,6,36,TRIG
2016,P2,7,33,TRIG
2016,P2,8,57,EUCL
2016,P2,9,44,EUCL
2016,P2,10,36,EUCL
2017,P1,1,60,ALG
2017,P1,2,63,SEQ
2017,P1,3,18,SEQ
2017,P1,4,51,FUNC
2017,P1,5,49,FUNC
2017,P1,6,45,FIN
2017,P1,7,65,CALC
2017,P1,8,40,CALC
2017,P1,9,41,CALC
2017,P1,10,9,PROB
2017,P1,11,25,PROB
2017,P2,1,66,STAT
2017,P2,2,64,STAT
2017,P2,3,49,AGEO
2017,P2,4,43,AGEO
2017,P2,5,57,TRIG
2017,P2,6,35,TRIG
2017,P2,7,50,TRIG
2017,P2,8,46,EUCL
2017,P2,9,34,EUCL
2017,P2,10,34,EUCL
2017,P2,11,41,EUCL
2018,P1,1,71,ALG
2018,P1,2,70,SEQ
2018,P1,3,48,SEQ
2018,P1,4,59,FUNC
2018,P1,5,55,FUNC
2018,P1,6,45,FUNC
2018,P1,7,50,FIN
2018,P1,8,67,CALC
2018,P1,9,38,CALC
2018,P1,10,18,CALC
2018,P1,11,34,PROB
2018,P1,12,31,PROB
2018,P2,1,60,STAT
2018,P2,2,48,STAT
2018,P2,3,55,AGEO
2018,P2,4,52,AGEO
2018,P2,5,43,TRIG
2018,P2,6,41,TRIG
2018,P2,7,38,TRIG
2018,P2,8,61,EUCL
2018,P2,9,49,EUCL
2018,P2,10,31,EUCL
2019,P1,1,64,ALG
2019,P1,2,70,SEQ
2019,P1,3,33,SEQ
2019,P1,4,55,FUNC
2019,P1,5,52,FUNC
2019,P1,6,57,FIN
2019,P1,7,62,CALC
2019,P1,8,39,CALC
2019,P1,9,42,CALC
2019,P1,10,21,PROB
2019,P1,11,26,PROB
2019,P2,1,75,STAT
2019,P2,2,53,STAT
2019,P2,3,69,AGEO
2019,P2,4,47,AGEO
2019,P2,5,37,TRIG
2019,P2,6,30,TRIG
2019,P2,7,34,TRIG
2019,P2,8,49,EUCL
2019,P2,9,44,EUCL
2019,P2,10,44,EUCL
