year,paper,question_number,avg_performance_pct,topic_v2,source,source_page
2014,P1,1,70,ALG,manual,
2014,P1,2,58,SEQ,manual,
2014,P1,3,50,SEQ,manual,
2014,P1,4,49,FUNC,manual,
2014,P1,5,44,FUNC,manual,
2014,P1,6,37,FUNC,manual,
2014,P1,7,52,FIN,manual,
2014,P1,8,53,CALC,manual,
2014,P1,9,32,CALC,manual,
2014,P1,10,39,CALC,manual,
2014,P1,11,29,PROB,manual,
2014,P1,12,29,PROB,manual,
2014,P2,1,69,STAT,manual,
2014,P2,2,61,STAT,manual,
2014,P2,3,57,AGEO,manual,
2014,P2,4,57,AGEO,manual,
2014,P2,5,42,TRIG,manual,
2014,P2,6,34,TRIG,manual,
2014,P2,7,37,TRIG,manual,
2014,P2,8,59,EUCL,manual,
2014,P2,9,38,EUCL,manual,
2014,P2,10,34,EUCL,manual,
2015,P1,1,60,ALG,manual,
2015,P1,2,60,SEQ,manual,
2015,P1,3,60,SEQ,manual,
2015,P1,4,56,FUNC,manual,
2015,P1,5,47,FUNC,manual,
2015,P1,6,26,FUNC,manual,
2015,P1,7,43,FIN,manual,
2015,P1,8,52,CALC,manual,
2015,P1,9,29,CALC,manual,
2015,P1,10,22,CALC,manual,
2015,P1,11,28,PROB,manual,
2015,P2,1,72,STAT,manual,
2015,P2,2,33,STAT,manual,
2015,P2,3,51,AGEO,manual,
2015,P2,4,64,AGEO,manual,
2015,P2,5,49,TRIG,manual,
2015,P2,6,42,TRIG,manual,
2015,P2,7,39,TRIG,manual,
2015,P2,8,56,EUCL,manual,
2015,P2,9,28,EUCL,manual,
2015,P2,10,38,EUCL,manual,
2015,P2,11,29,EUCL,manual,
2016,P1,1,70,ALG,manual,
2016,P1,2,54,SEQ,manual,
2016,P1,3,31,SEQ,manual,
2016,P1,4,42,FUNC,manual,
2016,P1,5,39,FUNC,manual,
2016,P1,6,27,FUNC,manual,
2016,P1,7,50,FIN,manual,
2016,P1,8,42,CALC,manual,
2016,P1,9,38,CALC,manual,
2016,P1,10,24,CALC,manual,
2016,P1,11,41,PROB,manual,
2016,P1,12,69,PROB,manual,
2016,P2,1,74,STAT,manual,
2016,P2,2,52,STAT,manual,
2016,P2,3,59,AGEO,manual,
2016,P2,4,69,AGEO,manual,
2016,P2,5,44,TRIG,manual,
2016,P2,6,36,TRIG,manual,
2016,P2,7,33,TRIG,manual,
2016,P2,8,57,EUCL,manual,
2016,P2,9,44,EUCL,manual,
2016,P2,10,36,EUCL,manual,
2017,P1,1,60,ALG,manual,
2017,P1,2,63,SEQ,manual,
2017,P1,3,18,SEQ,manual,
2017,P1,4,51,FUNC,manual,
2017,P1,5,49,FUNC,manual,
2017,P1,6,45,FIN,manual,
2017,P1,7,65,CALC,manual,
2017,P1,8,40,CALC,manual,
2017,P1,9,41,CALC,manual,
2017,P1,10,9,PROB,manual,
2017,P1,11,25,PROB,manual,
2017,P2,1,66,STAT,manual,
2017,P2,2,64,STAT,manual,
2017,P2,3,49,AGEO,manual,
2017,P2,4,43,AGEO,manual,
2017,P2,5,57,TRIG,manual,
2017,P2,6,35,TRIG,manual,
2017,P2,7,50,TRIG,manual,
2017,P2,8,46,EUCL,manual,
2017,P2,9,34,EUCL,manual,
2017,P2,10,34,EUCL,manual,
2017,P2,11,41,EUCL,manual,
2018,P1,1,71,ALG,manual,
2018,P1,2,70,SEQ,manual,
2018,P1,3,48,SEQ,manual,
2018,P1,4,59,FUNC,manual,
2018,P1,5,55,FUNC,manual,
2018,P1,6,45,FUNC,manual,
2018,P1,7,50,FIN,manual,
2018,P1,8,67,CALC,manual,
2018,P1,9,38,CALC,manual,
2018,P1,10,18,CALC,manual,
2018,P1,11,34,PROB,manual,
2018,P1,12,31,PROB,manual,
2018,P2,1,60,STAT,manual,
2018,P2,2,48,STAT,manual,
2018,P2,3,55,AGEO,manual,
2018,P2,4,52,AGEO,manual,
2018,P2,5,43,TRIG,manual,
2018,P2,6,41,TRIG,manual,
2018,P2,7,38,TRIG,manual,
2018,P2,8,61,EUCL,manual,
2018,P2,9,49,EUCL,manual,
2018,P2,10,31,EUCL,manual,
2019,P1,1,64,ALG,manual,
2019,P1,2,70,SEQ,manual,
2019,P1,3,33,SEQ,manual,
2019,P1,4,55,FUNC,manual,
2019,P1,5,52,FUNC,manual,
2019,P1,6,57,FIN,manual,
2019,P1,7,62,CALC,manual,
2019,P1,8,39,CALC,manual,
2019,P1,9,42,CALC,manual,
2019,P1,10,21,PROB,manual,
2019,P1,11,26,PROB,manual,
2019,P2,1,75,STAT,manual,
2019,P2,2,53,STAT,manual,
2019,P2,3,69,AGEO,manual,
2019,P2,4,47,AGEO,manual,
2019,P2,5,37,TRIG,manual,
2019,P2,6,30,TRIG,manual,
2019,P2,7,34,TRIG,manual,
2019,P2,8,49,EUCL,manual,
