topic,error_class,years_present,total_count,band
TRIG,procedural,12,80,permanent
EUCL,procedural,12,79,permanent
AGEO,procedural,12,78,permanent
FUNC,general,12,67,permanent
EUCL,general,12,63,permanent
AGEO,general,12,62,permanent
TRIG,general,12,61,permanent
FUNC,procedural,12,58,permanent
CALC,general,12,52,permanent
STAT,general,12,52,permanent
STAT,procedural,12,40,permanent
ALG,procedural,12,32,permanent
PROB,general,12,31,permanent
SEQ,procedural,12,29,permanent
CALC,notation,11,17,permanent
ALG,notation,11,11,permanent
CALC,procedural,10,32,permanent
SEQ,general,10,27,permanent
FIN,procedural,10,22,permanent
FIN,general,10,21,permanent
SEQ,notation,10,13,permanent
ALG,general,9,20,recurring
TRIG,notation,8,11,recurring
ALG,conceptual,8,8,recurring
FUNC,notation,7,15,recurring
PROB,procedural,7,10,recurring
STAT,reading,7,7,recurring
FUNC,conceptual,6,12,recurring
STAT,conceptual,6,12,recurring
TRIG,reading,6,9,recurring
CALC,conceptual,6,7,recurring
SEQ,arithmetic,5,6,occasional
TRIG,conceptual,5,6,occasional
EUCL,notation,5,5,occasional
PROB,notation,5,5,occasional
PROB,reading,5,5,occasional
PROB,conceptual,4,5,occasional
EUCL,conceptual,4,4,occasional
FIN,reading,4,4,occasional
SEQ,conceptual,4,4,occasional
AGEO,reading,3,6,occasional
AGEO,notation,3,3,occasional
SEQ,reading,3,3,occasional
TRIG,arithmetic,3,3,occasional
FIN,conceptual,2,3,rare
FUNC,reading,2,3,rare
ALG,reading,2,2,rare
EUCL,reading,2,2,rare
CALC,presentation,1,1,rare
CALC,reading,1,1,rare
EUCL,arithmetic,1,1,rare
EUCL,presentation,1,1,rare
