topic,exposure_norm,subquestion_count,total_marks,exposure_score,error_pressure_per_exposure,difficulty_norm,persistence_norm,design_norm,design_marks,priority_score,priority_band
Trigonometry,0.7015601409159536,38.0,162.0,15.92,2.3815789473684212,0.34077349243554234,1.0,1.0,50.0,0.6468,Medium
Calculus,1.0,45.0,248.0,21.85,0.5111111111111111,0.0,1.0,0.5714285714285714,35.0,0.5571,Medium
Analytical Geometry,0.5244086562657272,33.0,114.0,12.4,1.9848484848484849,0.26849466323150534,1.0,0.7142857142857143,40.0,0.5361,Medium
Functions & Graphs,0.6250629089079013,39.0,130.0,14.4,1.6153846153846154,0.20118343195266272,1.0,0.5714285714285714,35.0,0.5251,Medium
Euclidean Geometry,0.24408656265727224,17.0,67.0,6.83,2.8529411764705883,0.4266492021909979,1.0,0.7142857142857143,40.0,0.5153,Medium
Finance,0.0,5.0,19.0,1.98,4.1,0.6538461538461537,1.0,0.0,15.0,0.4615,Medium
Statistics,0.30749874182184195,28.0,51.0,8.09,1.9642857142857142,0.2647484094852516,1.0,0.14285714285714285,20.0,0.4124,Medium
Number Patterns & Sequences,0.23351786612984402,17.0,63.0,6.62,1.7058823529411764,0.21767087401762325,1.0,0.2857142857142857,25.0,0.3857,Lower
Algebra & Equations,0.3210870659285354,23.0,74.0,8.36,1.173913043478261,0.12075338848794229,1.0,0.2857142857142857,25.0,0.3732,Lower
Probability,0.07851031706089583,16.0,9.0,3.54,1.46875,0.17446862348178138,1.0,0.0,15.0,0.2933,Lower
