topic_id,subtopic,seed_tokens,n_matched_questions,top_cooccurring_tokens
ALG,Exponents and surds,exponents; surds,0,
ALG,Equations and inequalities,equations; inequalities,3,down:2; asymptotes:2; write:2; lad:1; following:1; simultaneously:1; solve:1
ALG,Quadratic equations,quadratic; equations,15,pattern:7; number:7; given:5; sequence:5; first:4; term:4; write:4; value:3; differences:3; down:3; consecutive:2; asymptotes:2; following:2; determine:2; solve:2
ALG,Simultaneous equations,simultaneous; equations,3,down:2; asymptotes:2; write:2; lad:1; following:1; simultaneously:1; solve:1
ALG,Nature of roots,nature; roots,7,values:5; real:5; two:4; equation:4; negative:2; solve:2; positive:2; unequal:1; value:1; given:1; bie:1; quadratic:1; calculate:1; signs:1; length:1
ALG,Polynomial functions (cubics),polynomial; functions; cubics,0,
SEQ,Arithmetic sequences and series,arithmetic; sequences; series,16,calculate:7; first:7; term:6; terms:5; sequence:4; sum:4; determine:3; geometric:3; value:3; given:2; isan:1; values:1; prove:1; show:1; convergent:1
SEQ,Geometric sequences and series,geometric; sequences; series,14,calculate:7; first:6; term:6; terms:4; sum:4; prove:2; value:2; determine:2; sequence:2; form:2; order:2; number:2; show:1; calculations:1; convergent:1
SEQ,Quadratic number patterns,quadratic; number; patterns,53,determine:12; pattern:10; given:8; term:8; calculate:8; mean:8; sequence:8; deviation:7; standard:7; first:6; one:6; value:5; airport:5; king:5; landing:5
SEQ,Sigma notation,sigma; notation,2,write:1; express:1; series:1
SEQ,Infinite geometric series,infinite; geometric; series,14,calculate:7; first:6; term:6; terms:4; sum:4; prove:2; value:2; determine:2; sequence:2; form:2; order:2; number:2; show:1; calculations:1; convergent:1
FIN,Simple and compound growth,simple; compound; growth,1,kuda:1; pays:1; two:1; years:1; interest:1; annum:1; money:1; receive:1; exactly:1; monthly:1; four:1; want:1; invest:1; his:1; compounded:1
FIN,"Depreciation (straight-line, reducing)",depreciation; straight; line; reducing,39,regression:13; least:13; squares:13; determine:12; equation:12; data:10; calculate:9; diagram:8; circle:7; book:6; two:6; value:5; through:5; drawn:5; point:4
FIN,Nominal and effective interest rates,nominal; effective; interest; rates,19,compounded:16; monthly:14; years:10; month:9; first:9; loan:8; calculate:8; end:7; rate:7; made:6; after:6; his:5; account:5; granted:5; one:5
FIN,"Annuities (future value, present value)",annuities; future; value; present; value,88,calculate:36; determine:35; given:14; calculator:13; using:11; term:10; down:10; write:10; cos:9; sin:8; sequence:7; use:7; pattern:5; first:5; rate:5
FIN,Time lines,time; lines,8,below:3; two:3; diagram:3; three:2; first:2; restaurant:2; tips:2; reggie:2; day:2; period:2; amount:2; given:2; works:2; part:2; circles:2
