topic_id,token,topic_count,topic_total,global_count,lift
AGEO,parallelogram,3,60,3,8.23
AGEO,midpoint,3,60,3,8.23
AGEO,gradient,8,60,9,7.32
AGEO,point,8,60,15,4.39
AGEO,size,6,60,15,3.29
AGEO,centre,4,60,10,3.29
AGEO,inthe,3,60,8,3.09
AGEO,isa,3,60,8,3.09
AGEO,circle,8,60,23,2.86
AGEO,form,7,60,23,2.51
AGEO,coordinates,10,60,35,2.35
AGEO,drawn,3,60,11,2.25
ALG,simultaneously,4,50,4,9.88
ALG,quadratic,3,50,8,3.7
ALG,pattern,4,50,12,3.29
ALG,form,5,50,23,2.15
CALC,concave,4,57,4,8.67
CALC,laptop,3,57,3,8.67
CALC,principles,4,57,5,6.93
CALC,rate,3,57,5,5.2
CALC,turning,5,57,9,4.81
CALC,intercepts,4,57,10,3.47
CALC,tangent,8,57,21,3.3
CALC,confidential,14,57,37,3.28
CALC,graph,6,57,17,3.06
CALC,use,3,57,9,2.89
CALC,points,4,57,13,2.67
CALC,interest,3,57,10,2.6
CALC,point,4,57,15,2.31
EUCL,give,3,42,3,11.76
EUCL,areason,3,42,3,11.76
EUCL,quadrilateral,6,42,6,11.76
EUCL,cyclic,4,42,4,11.76
EUCL,giving,10,42,11,10.69
EUCL,reasons,15,42,19,9.29
EUCL,chord,3,42,4,8.82
EUCL,produced,3,42,5,7.06
EUCL,prove,13,42,23,6.65
EUCL,drawn,6,42,11,6.42
EUCL,diagram,8,42,15,6.27
EUCL,units,5,42,10,5.88
EUCL,centre,5,42,10,5.88
EUCL,circle,8,42,23,4.09
EUCL,length,7,42,21,3.92
EUCL,size,5,42,15,3.92
EUCL,tangent,4,42,21,2.24
FIN,balance,3,15,3,32.93
FIN,quarterly,3,15,3,32.93
FIN,thabo,3,15,3,32.93
FIN,deposited,3,15,3,32.93
FIN,paid,5,15,5,32.93
FIN,loan,7,15,7,32.93
FIN,granted,4,15,4,32.93
FIN,instalment,3,15,3,32.93
FIN,months,4,15,4,32.93
FIN,continued,3,15,3,32.93
FIN,thereafter,3,15,3,32.93
FIN,deposit,6,15,7,28.23
FIN,account,5,15,6,27.44
FIN,compounded,7,15,9,25.61
FIN,take,3,15,4,24.7
FIN,made,5,15,7,23.52
FIN,interest,7,15,10,23.05
FIN,june,4,15,6,21.96
FIN,monthly,8,15,13,20.27
FIN,buy,3,15,5,19.76
FIN,make,3,15,5,19.76
FIN,years,4,15,7,18.82
FIN,month,3,15,6,16.47
FUNC,intercept,5,89,5,5.55
FUNC,coordinate,4,89,4,5.55
FUNC,asymptote,5,89,5,5.55
FUNC,horizontal,4,89,4,5.55
FUNC,translated,5,89,5,5.55
FUNC,axis,5,89,6,4.63
FUNC,asymptotes,4,89,5,4.44
FUNC,domain,4,89,5,4.44
FUNC,left,3,89,4,4.16
FUNC,range,8,89,11,4.04
FUNC,axes,5,89,8,3.47
FUNC,coordinates,19,89,35,3.01
FUNC,graph,9,89,17,2.94
FUNC,intercepts,5,89,10,2.78
FUNC,clearly,3,89,7,2.38
FUNC,equation,15,89,36,2.31
FUNC,interval,6,89,15,2.22
FUNC,inthe,3,89,8,2.08
PROB,shelf,3,29,3,17.03
PROB,ways,3,29,3,17.03
PROB,events,7,29,8,14.91
PROB,independent,4,29,5,13.63
PROB,different,4,29,5,13.63
PROB,digit,3,29,4,12.78
PROB,probability,8,29,12,11.36
PROB,three,3,29,8,6.39
PROB,least,4,29,11,6.19
PROB,one,3,29,14,3.65
PROB,many,3,29,16,3.19
SEQ,added,3,32,3,15.44
SEQ,seconds,3,32,3,15.44
SEQ,depth,3,32,3,15.44
SEQ,torpedo,4,32,4,15.44
SEQ,series,7,32,8,13.51
SEQ,term,10,32,12,12.86
SEQ,arithmetic,3,32,4,11.58
SEQ,sum,8,32,11,11.23
SEQ,pattern,8,32,12,10.29
SEQ,difference,4,32,6,10.29
SEQ,quadratic,5,32,8,9.65
SEQ,sequence,3,32,5,9.26
SEQ,terms,7,32,14,7.72
SEQ,general,3,32,10,4.63
STAT,loaves,3,53,3,9.32
STAT,mean,10,53,10,9.32
STAT,bread,3,53,3,9.32
STAT,standard,8,53,8,9.32
STAT,deviation,8,53,8,9.32
STAT,data,16,53,16,9.32
STAT,box,3,53,3,9.32
STAT,whisker,3,53,3,9.32
STAT,table,7,53,7,9.32
STAT,regression,7,53,7,9.32
STAT,squares,7,53,7,9.32
STAT,predict,5,53,5,9.32
STAT,litre,3,53,3,9.32
STAT,correlation,4,53,4,9.32
STAT,votes,5,53,5,9.32
STAT,received,3,53,3,9.32
STAT,employees,3,53,3,9.32
STAT,fuel,3,53,3,9.32
STAT,spent,6,53,6,9.32
STAT,coefficient,3,53,3,9.32
STAT,minutes,4,53,4,9.32
STAT,member,3,53,3,9.32
STAT,cumulative,3,53,3,9.32
STAT,frequency,3,53,3,9.32
STAT,push,4,53,4,9.32
TRIG,sna,7,67,7,7.37
TRIG,expression,6,67,6,7.37
TRIG,simplify,4,67,4,7.37
TRIG,trigonometric,5,67,5,7.37
TRIG,identity,6,67,6,7.37
TRIG,xky,3,67,3,7.37
TRIG,single,3,67,3,7.37
TRIG,alr,3,67,3,7.37
TRIG,sin,34,67,36,6.96
TRIG,sinb,10,67,11,6.7
TRIG,cos,38,67,42,6.67
TRIG,sinc,9,67,10,6.64
TRIG,sheet,9,67,10,6.64
TRIG,sina,9,67,10,6.64
TRIG,tan,12,67,14,6.32
TRIG,cosx,6,67,7,6.32
TRIG,cosa,9,67,11,6.03
TRIG,solution,4,67,5,5.9
TRIG,aabc,9,67,12,5.53
TRIG,information,9,67,13,5.1
TRIG,sinx,6,67,10,4.42
TRIG,area,10,67,20,3.69
TRIG,ratio,4,67,9,3.28
TRIG,use,4,67,9,3.28
TRIG,general,4,67,10,2.95
