token,document_frequency,corpus_size,df_ratio
determine,176,789,0.2231
calculate,166,789,0.2104
value,88,789,0.1115
down,87,789,0.1103
write,87,789,0.1103
given,77,789,0.0976
equation,66,789,0.0837
coordinates,59,789,0.0748
first,51,789,0.0646
values,50,789,0.0634
cos,50,789,0.0634
circle,50,789,0.0634
number,48,789,0.0608
diagram,48,789,0.0608
prove,47,789,0.0596
sin,45,789,0.057
form,44,789,0.0558
point,43,789,0.0545
show,41,789,0.052
two,40,789,0.0507
reasons,40,789,0.0507
graph,38,789,0.0482
length,37,789,0.0469
tangent,36,789,0.0456
points,36,789,0.0456
area,34,789,0.0431
data,34,789,0.0431
line,33,789,0.0418
sheet,30,789,0.038
terms,30,789,0.038
term,29,789,0.0368
sequence,28,789,0.0355
one,28,789,0.0355
drawn,28,789,0.0355
monthly,27,789,0.0342
following,26,789,0.033
using,24,789,0.0304
information,23,789,0.0292
use,23,789,0.0292
tan,22,789,0.0279
below,21,789,0.0266
aabc,21,789,0.0266
size,21,789,0.0266
centre,20,789,0.0253
interest,19,789,0.0241
sinb,19,789,0.0241
calculator,19,789,0.0241
after,18,789,0.0228
book,18,789,0.0228
least,18,789,0.0228
sinc,18,789,0.0228
sina,18,789,0.0228
cosa,18,789,0.0228
give,18,789,0.0228
quadrilateral,18,789,0.0228
intercepts,17,789,0.0215
further,17,789,0.0215
years,17,789,0.0215
giving,17,789,0.0215
month,16,789,0.0203
compounded,16,789,0.0203
loan,16,789,0.0203
period,16,789,0.0203
draw,16,789,0.0203
through,16,789,0.0203
above,16,789,0.0203
correct,15,789,0.019
decimal,15,789,0.019
pattern,15,789,0.019
axis,15,789,0.019
axes,15,789,0.019
solve,14,789,0.0177
sum,14,789,0.0177
gradient,14,789,0.0177
sketch,14,789,0.0177
inthe,14,789,0.0177
probability,14,789,0.0177
deviation,14,789,0.0177
standard,14,789,0.0177
turning,13,789,0.0165
graphs,13,789,0.0165
range,13,789,0.0165
his,13,789,0.0165
end,13,789,0.0165
rate,13,789,0.0165
regression,13,789,0.0165
squares,13,789,0.0165
interval,13,789,0.0165
distance,13,789,0.0165
reason,13,789,0.0165
quadratic,12,789,0.0152
series,12,789,0.0152
isa,12,789,0.0152
maximum,12,789,0.0152
mean,12,789,0.0152
cosx,12,789,0.0152
clearly,12,789,0.0152
places,11,789,0.0139
general,11,789,0.0139
three,11,789,0.0139
chord,11,789,0.0139
passing,11,789,0.0139
intersect,11,789,0.0139
hence,11,789,0.0139
made,10,789,0.0127
coordinate,10,789,0.0127
digit,10,789,0.0127
another,10,789,0.0127
units,10,789,0.0127
expression,10,789,0.0127
respectively,10,789,0.0127
produced,10,789,0.0127
sna,10,789,0.0127
calculations,9,789,0.0114
asymptotes,9,789,0.0114
intercept,9,789,0.0114
account,9,789,0.0114
principles,9,789,0.0114
digits,9,789,0.0114
correlation,9,789,0.0114
months,9,789,0.0114
parallelogram,9,789,0.0114
sinx,9,789,0.0114
alr,9,789,0.0114
amount,9,789,0.0114
events,9,789,0.0114
same,9,789,0.0114
different,9,789,0.0114
parallel,9,789,0.0114
atbx,8,789,0.0101
scatter,8,789,0.0101
provided,8,789,0.0101
plot,8,789,0.0101
during,8,789,0.0101
positive,8,789,0.0101
solution,8,789,0.0101
theorem,8,789,0.0101
states,8,789,0.0101
acyclic,8,789,0.0101
explain,8,789,0.0101
function,8,789,0.0101
height,8,789,0.0101
table,8,789,0.0101
mxt,8,789,0.0101
paid,8,789,0.0101
equal,8,789,0.0101
instalment,8,789,0.0101
last,7,789,0.0089
deposit,7,789,0.0089
balance,7,789,0.0089
