topic,subtopic,skill,caps_section,taxonomy_version
Algebra & Equations,Linear equations,Solve linear equations,Algebra,v1.1
Algebra & Equations,Quadratic equations,Solve quadratic equations,Algebra,v1.1
Algebra & Equations,Inequalities,Solve inequalities,Algebra,v1.1
Algebra & Equations,Exponents & surds,Simplify/solve exponential and surd expressions,Algebra,v1.1
Algebra & Equations,Algebraic manipulation,Simplify/factorise/expand expressions,Algebra,v1.1
Algebra & Equations,Simultaneous equations,Solve simultaneous equations,Algebra,v1.1
Number Patterns & Sequences,Arithmetic sequences,Work with arithmetic sequences/series,Patterns,v1.1
Number Patterns & Sequences,Geometric sequences,Work with geometric sequences/series,Patterns,v1.1
Number Patterns & Sequences,Quadratic sequences,Work with quadratic sequences,Patterns,v1.1
Number Patterns & Sequences,Series & sigma notation,Evaluate series and sigma notation,Patterns,v1.1
Functions & Graphs,Linear functions,Interpret/sketch linear functions,Functions,v1.1
Functions & Graphs,Quadratic functions,Interpret/sketch parabolas,Functions,v1.1
Functions & Graphs,Hyperbola,Interpret/sketch hyperbolas,Functions,v1.1
Functions & Graphs,Exponential functions,Interpret/sketch exponential functions,Functions,v1.1
Functions & Graphs,Logarithmic functions,Interpret/sketch logarithmic functions,Functions,v1.1
Functions & Graphs,Inverse functions,Determine/interpret inverse functions,Functions,v1.1
Functions & Graphs,Transformations,Apply function transformations,Functions,v1.1
Functions & Graphs,Graph interpretation,Interpret graphs and intercepts/inequalities,Functions,v1.1
Finance,Compound interest,Apply compound growth/decay,Finance,v1.1
Finance,Annuities,Present/future value of annuities,Finance,v1.1
Finance,Present/future value,Loan and investment timing calculations,Finance,v1.1
Calculus,First principles,Differentiate from first principles,Calculus,v1.1
Calculus,Rules of differentiation,Apply differentiation rules,Calculus,v1.1
Calculus,Cubic graphs,Analyse cubic functions with calculus,Calculus,v1.1
Calculus,Tangents,Determine tangent equations,Calculus,v1.1
Calculus,Optimisation,Solve optimisation problems,Calculus,v1.1
Probability,Basic probability,Compute simple probabilities,Probability,v1.1
Probability,Contingency tables,Use contingency tables,Probability,v1.1
Probability,Tree diagrams,Use tree diagrams,Probability,v1.1
Probability,Counting principles,Use counting principles,Probability,v1.1
Trigonometry,Identities,Prove/apply identities,Trigonometry,v1.1
Trigonometry,Equations,Solve trig equations,Trigonometry,v1.1
Euclidean Geometry,Circle geometry,Apply circle theorems,Geometry,v1.1
Analytical Geometry,Distance / midpoint / gradient,Apply analytic geometry formulae,Analytical Geometry,v1.1
Statistics,Regression / correlation,Interpret regression/correlation,Statistics,v1.1
Mixed / Multi-topic,Mixed,Multi-topic assessed skill,Mixed,v1.1
Unmapped,Unmapped,Insufficient evidence,Unmapped,v1.1
