skill_id,template_id
algebra.quadratic.solve,quadratic_factored
algebra.quadratic.inequality,quadratic_inequality
algebra.exponential.solve,exponential_quadratic
algebra.simultaneous.solve,simultaneous_linear_quadratic
sequences.ap.term,ap_term
sequences.ap.sum,ap_sum
sequences.ap.difference,ap_term
sequences.gp.term,gp_term
sequences.gp.ratio,gp_ratio
sequences.gp.sum,gp_sum
sequences.gp.sum_infinity,gp_infinite
sequences.quadratic.term,quadratic_sequence_term
sequences.quadratic.general,quadratic_sequence_general
sequences.quadratic.n,quadratic_sequence_n
calculus.derivative.rules,derivative_rules
calculus.derivative.first_principles,derivative_first_principles
calculus.cubic.turning,cubic_turning
calculus.cubic.concave,cubic_concave
calculus.cubic.increasing,cubic_increasing
calculus.cubic.intercept,cubic_intercept
calculus.tangent,calculus_tangent
functions.parabola.turning,parabola_turning
functions.parabola.range,parabola_range
functions.parabola.intercept,parabola_intercept
functions.parabola.equation,parabola_equation
functions.parabola.tangent,calculus_tangent
functions.hyperbola.domain,hyperbola_domain
functions.hyperbola.asymptotes,hyperbola_domain
functions.hyperbola.equation,hyperbola_equation
functions.hyperbola.intercept,hyperbola_domain
functions.exponential.value,exponential_value
functions.exponential.range,exponential_value
functions.line.equation,line_equation
functions.line.intercept,line_equation
functions.inequality,quadratic_inequality
finance.compound,finance_compound
finance.compound.r,finance_compound
finance.simple_interest,finance_simple
finance.effective,finance_effective
finance.annuity.future,finance_annuity_future
finance.loan.n,finance_loan_n
finance.loan.final,finance_loan_n
finance.loan.interest,finance_loan_n
probability.independence,probability_independence
probability.union,probability_union
probability.two_way,probability_union
probability.conditional,probability_conditional
probability.counting,probability_counting
probability.venn,probability_union
probability.set,probability_union
analytical_geom.distance,analytical_distance
analytical_geom.midpoint,analytical_midpoint
analytical_geom.gradient,analytical_gradient
analytical_geom.inclination,analytical_inclination
analytical_geom.line_equation,analytical_line_equation
analytical_geom.circle.equation,analytical_circle_equation
analytical_geom.circle.radius,analytical_circle_radius
analytical_geom.circle.point,analytical_circle_equation
analytical_geom.tangent.equation,analytical_tangent_equation
analytical_geom.tangent,analytical_tangent_equation
analytical_geom.area,analytical_area
analytical_geom.angle,analytical_gradient
analytical_geom.parameter,analytical_gradient
analytical_geom.translation,analytical_translation
analytical_geom.ratio,analytical_distance
analytical_geom.point,analytical_distance
analytical_geom.area_ratio,analytical_area
analytical_geom.prove,euclidean_written
analytical_geom.circumcentre,analytical_circle_equation
trig.reduction.simplify,trig_reduction
trig.reduction.cos,trig_reduction
trig.reduction.range,trig_reduction
trig.double_angle,trig_double_angle
trig.compound.sin,trig_compound
trig.compound.prove,trig_written
trig.equation,trig_equation
trig.equation.general,trig_equation
trig.equation.min,trig_equation
trig.graph.period,trig_graph_written
trig.graph.range,trig_graph_written
trig.graph.inequality,trig_graph_written
trig.graph.sketch,trig_graph_written
trig.graph.transform,trig_graph_written
trig.graph.value,trig_graph_written
trig.graph.key_points,trig_graph_written
trig.3d.length,trig_3d_written
trig.3d.angle,trig_3d_written
trig.3d.area,trig_3d_written
trig.identity.prove,trig_written
trig.identity.simplify,trig_reduction
trig.maximum,trig_equation
trig.minimum,trig_equation
trig.compound.expansion,trig_compound
stats.mean,stats_mean
stats.mean.parameter,stats_mean
stats.median,stats_median
stats.quartile,stats_quartile
stats.iqr,stats_iqr
stats.standard_deviation,stats_sd_written
stats.standard_deviation.interval,stats_sd_written
stats.standard_deviation.invariance,stats_sd_written
stats.regression.equation,stats_regression_written
stats.regression.predict,stats_regression_written
stats.regression.interpret,stats_regression_written
stats.correlation.r,stats_regression_written
stats.correlation.interpret,stats_regression_written
stats.frequency.count,stats_mean
stats.frequency.cumulative,stats_mean
stats.frequency.median_class,stats_median
stats.boxplot,stats_written
stats.percentage,stats_mean
stats.interval,stats_mean
stats.cumulative.total,stats_mean
stats.histogram,stats_written
stats.skewness,stats_written
euclidean.circle.angle_centre,euclidean_written
euclidean.circle.angle,euclidean_written
euclidean.circle.radius,euclidean_written
euclidean.circle.equation,euclidean_written
euclidean.cyclic_quad,euclidean_written
euclidean.tangent_chord,euclidean_written
euclidean.tangent.angle,euclidean_written
euclidean.semicircle.prove,euclidean_written
euclidean.semicircle.angle,euclidean_written
euclidean.prop_theorem,euclidean_written
euclidean.parallel,euclidean_written
euclidean.angle,euclidean_written
euclidean.area_ratio,euclidean_written
euclidean.similarity,euclidean_written
euclidean.similarity.ratio,euclidean_written
analytical_geom.parallelogram.prove,euclidean_written
analytical_geom.collinear,euclidean_written
